Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
26.01;10;Altos cargos;126,37;126.370,00
26.01;11;Personal eventual;528;528.000,00
26.01;12;Funcionarios;18.310,49;18.310.490,00
26.01;13;Laborales;351,65;351.650,00
26.01;15;Incentivos al rendimiento;5.356,62;5.356.620,00
26.01;150;Productividad;5.272,14;5.272.140,00
26.01;151;Gratificaciones;84,48;84.480,00
26.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.540,67;1.540.670,00
26.01;16000;Seguridad Social;1.230,06;1.230.060,00
26.01;16200;Formación y perfeccionamiento del personal;93,04;93.040,00
26.01;16204;Acción social;79,48;79.480,00
26.01;20;Arrendamientos y cánones;137,33;137.330,00
26.01;202;Arrendamientos de edificios y otras construcciones;125;125.000,00
26.01;21;Reparaciones, mantenimiento y conservación;776,36;776.360,00
26.01;22;Material, suministros y otros;2.512,78;2.512.780,00
26.01;22109;Labores Fábrica Nacional Moneda y Timbre;1,46;1.460,00
26.01;22502;Locales;25;25.000,00
26.01;22601;Atenciones protocolarias y representativas;66,73;66.730,00
26.01;23;Indemnizaciones por razón del servicio;1.280,16;1.280.160,00
26.01;6;Inversiones reales;2.027,74;2.027.740,00
26.01;83;Concesión de préstamos fuera del Sector Público;40,5;40.500,00
26.01;830;Préstamos a corto plazo;2,5;2.500,00
26.01;831;Préstamos a largo plazo;38;38.000,00
6.02;10;Altos cargos;61,04;61.040,00
26.02;12;Funcionarios;2.693,45;2.693.450,00
26.02;13;Laborales;252,64;252.640,00
26.02;16;Seguridad Social;293,14;293.140,00
—;—;Total Gastos de Personal – 26.02;3.300,27;3.300.270,00
26.02;22;Material, suministros y otros;500,66;500.660,00
26.02;22601;Atenciones protocolarias y representativas;3;3.000,00
26.02;23;Indemnizaciones por razón del servicio;133,13;133.130,00
26.02;24;Gastos de publicaciones;155,54;155.540,00
—;—;Total Gastos Corrientes – 26.02;789,33;789.330,00
26.02;443;Fundación Estatal, Salud, Infancia y Bienestar Social, F.S.P. (transferencias corrientes);772,06;772.060,00
26.02;491;Aportación a organismos y programas internacionales;1.196,00;1.196.000,00
26.02;492;Cooperación sanitaria internacional;385;385.000,00
—;—;Total Transferencias Corrientes – 26.02;2.353,06;2.353.060,00
26.02;6;Inversiones reales;6,8;6.800,00
26.02;743;Fundación Estatal, Salud, Infancia y Bienestar Social, F.S.P. (transferencias de capital);24,92;24.920,00
—;—;Total Secretaría General Técnica – 26.02;6.474,38;6.474.380,00
;;26.01 Ministerio y Subsecretaría;32.988,67;32.988.670,00
;;26.02 Secretaría General Técnica;6.474,38;6.474.380,00
;;—;39.463,05;39.463.050,00
