Económica;Explicación;26.01;26.02 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;26.213,80;3.300,27;29.514,07;29.514.070,00
10;Altos cargos;126,37;61,04;187,41;187.410,00
11;Personal eventual;528;—;528,00;528.000,00
12;Funcionarios;18.310,49;2.693,45;21.003,94;21.003.940,00
13;Laborales;351,65;252,64;604,29;604.290,00
15;Incentivos al rendimiento;5.356,62;—;5.356,62;5.356.620,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.540,67;293,14;1.833,81;1.833.810,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.706,63;789,33;5.495,96;5.495.960,00
20;Arrendamientos y cánones;137,33;—;137,33;137.330,00
21;Reparaciones, mantenimiento y conservación;776,36;—;776,36;776.360,00
22;Material, suministros y otros;2.512,78;500,66;3.013,44;3.013.440,00
23;Indemnizaciones por razón del servicio;1.280,16;133,13;1.413,29;1.413.290,00
24;Gastos de publicaciones;—;155,54;155,54;155.540,00
4;TRANSFERENCIAS CORRIENTES;—;2.353,06;2.353,06;2.353.060,00
44;A entidades del Sector Público Estatal;—;772,06;772,06;772.060,00
49;Al exterior;—;1.581,00;1.581,00;1.581.000,00
6;INVERSIONES REALES;2.027,74;6,8;2.034,54;2.034.540,00
62;Inversión nueva asociada al funcionamiento operativo;161,4;6,8;168,20;168.200,00
63;Inversión de reposición asociada al funcionamiento operativo;1.666,34;—;1.666,34;1.666.340,00
64;Gastos de inversiones de carácter inmaterial;200;—;200,00;200.000,00
7;TRANSFERENCIAS DE CAPITAL;—;24,92;24,92;24.920,00
74;A entidades del Sector Público Estatal;—;24,92;24,92;24.920,00
8;ACTIVOS FINANCIEROS;40,5;—;40,50;40.500,00
83;Concesión de préstamos fuera del Sector Público;40,5;—;40,50;40.500,00
—;TOTAL PROGRAMA 311M – Dirección y Servicios Generales de Sanidad;32.988,67;6.474,38;39.463,05;39.463.050,00
