Clasif. por programas;Explicación;Estado (€ miles);OO.AA. (€ miles);Total (€ miles)
231G;Atención a la infancia y a las familias;41.382,66;—;41.382,66
232A;Promoción y servicios a la juventud;—;54.276,59;54.276,59
232N;Dirección y Servicios Generales de Juventud e Infancia;9.921,02;—;9.921,02
46SA;Competencias digitales transversales (I+D+i+Digitalización);97.000,00;—;97.000,00
;Total Consolidado;148.303,68;54.276,59;202.580,27
000X;Transferencias y libramientos internos;12.558,86;—;12.558,86
;Total General;160.862,54;54.276,59;215.139,13
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
