;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;111N;;Dirección y Servicios Generales de Justicia;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;410,88;
;;;100;Retribuciones básicas y otras remuneraciones;;410,88;
;;;10000; Retribuciones básicas;172,31;;
;;;10001; Retribuciones complementarias;238,57;;
v;;;11;Personal eventual;;813,13;
;;;110;Retribuciones básicas y otras remuneraciones;;813,13;
;;;11000; Retribuciones básicas;301,05;;
;;;11001; Retribuciones complementarias;512,08;;
v;;;12;Funcionarios;;94.309,05;
;;;120;Retribuciones básicas;;7.429,64;
;;;12000; Sueldos del grupo A1 y grupo A;1.397,22;;
;;;12001; Sueldos del grupo A2 y grupo B;1.053,92;;
;;;12002; Sueldos del grupo C1 y grupo C;1.273,84;;
;;;12003; Sueldos del grupo C2 y grupo D;1.100,33;;
;;;12005; Trienios;1.285,42;;
;;;12006; Pagas extraordinarias;1.318,91;;
;;;121;Retribuciones complementarias;;85.731,34;
;;;12100; Complemento de destino;3.387,58;;
;;;12101; Complemento específico;5.167,76;;
;;;12181; Necesidades adicionales;77.176,00;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;1.148,07;
;;;12300; Indemnización por destino en el extranjero;1.148,07;;
v;;;13;Laborales;;3.009,14;
;;;130;Laboral fijo;;2.512,98;
;;;13000; Retribuciones básicas;2.321,80;;
;;;13001; Otras remuneraciones;191,18;;
;;;131;Laboral eventual;;496,16;
v;;;15;Incentivos al rendimiento;;5.914,55;
v;;;150;Productividad;;5.846,74;
v;;;151;Gratificaciones;;67,81;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;2.822,79;
;;;160;Cuotas sociales;;1.992,73;
v;;;16000; Seguridad Social;1.992,73;;
;;;162;Gastos sociales del personal;;830,06;
v;;;16200; Formación y perfeccionamiento del personal;70,28;;
v;;;16201; Economatos y comedores;233,79;;
v;;;16204; Acción social;188,96;;
;;;16205; Seguros;33,10;;
;;;16209; Otros;303,93;;
;;;;TOTAL GASTOS DE PERSONAL;;107.279,54;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;2.012,13;
v;;;202;Arrendamientos de edificios y otras construcciones;;2.012,13;
v;;;21;Reparaciones, mantenimiento y conservación;;1.482,42;
;;;212;Edificios y otras construcciones;;160,80;
;;;213;Maquinaria, instalaciones y utillaje;;906,55;
;;;215;Mobiliario y enseres;;229,65;
;;;216;Equipos para procesos de la información;;185,42;
v;;;22;Material, suministros y otros;;10.337,71;
;;;220;Material de oficina;;485,25;
;;;22000; Ordinario no inventariable;100,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;50,00;;
;;;22002; Material informático no inventariable;335,25;;
;;;221;Suministros;;2.405,35;
;;;22100; Energía eléctrica;1.809,44;;
;;;22101; Agua;60,00;;
;;;22102; Gas;215,00;;
;;;22103; Combustible;2,00;;
;;;22104; Vestuario;20,00;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;85,64;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;70,00;;
;;;22199; Otros suministros;143,27;;
;;;222;Comunicaciones;;150,02;
;;;22200; Servicios de telecomunicaciones;47,02;;
;;;22201; Postales y mensajería;100,00;;
;;;22215; Comunicaciones en el exterior;3,00;;
;;;223;Transportes;;373,00;
;;;224;Primas de seguros;;18,00;
;;;225;Tributos;;305,00;
;;;22500; Estatales;60,00;;
v;;;22502; Locales;245,00;;
;;;226;Gastos diversos;;193,91;
v;;;22601; Atenciones protocolarias y representativas;96,11;;
;;;22603; Jurídicos, contenciosos;40,00;;
;;;22606; Reuniones, conferencias y cursos;39,00;;
;;;22615; Gastos diversos en el exterior;3,00;;
;;;22699; Otros;15,80;;
;;;227;Trabajos realizados por otras empresas y profesionales;;6.407,18;
;;;22700; Limpieza y aseo;5,67;;
;;;22701; Seguridad;5,83;;
;;;22704; Custodia, depósito y almacenaje;367,80;;
;;;22706; Estudios y trabajos técnicos;3.638,45;;
;;;22715; Trabajos realizados por otras empresas y profesionales en el exterior;1,18;;
;;;22799; Otros;2.388,25;;
v;;;23;Indemnizaciones por razón del servicio;;626,54;
;;;230;Dietas;;155,54;
;;;231;Locomoción;;323,00;
;;;232;Traslado;;20,00;
;;;233;Otras indemnizaciones;;128,00;
v;;;24;Gastos de publicaciones;;135,00;
;;;240;Gastos de edición y distribución;;135,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;14.593,80;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;15,00;
v;;;352;Intereses de demora;;15,00;
;;;;TOTAL GASTOS FINANCIEROS;;15,00;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;49;Al exterior;;241,83;
v;;;491;Conferencia de Ministros de Justicia de Países Iberoamericanos;;89,83;
v;;;492;Cuota al Instituto de las Naciones Unidas para la prevención del delito y tratamiento del delincuente;;22,00;
v;;;493;GRECO - Grupo de Estados contra la Corrupción;;90,00;
v;;;495;Programa Iberoamericano de acceso a la Justicia;;40,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;241,83;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;5.950,45;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;5.950,45;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;4.662,35;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;4.662,35;
;;;64;Gastos de inversiones de carácter inmaterial;;2.134,74;
;;;640;Gastos en inversiones de carácter inmaterial;;2.134,74;
;;;;TOTAL INVERSIONES REALES;;12.747,54;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;63,63;
v;;;830;Préstamos a corto plazo;;5,49;
;;;83008; Familias e instituciones sin fines de lucro;5,49;;
v;;;831;Préstamos a largo plazo;;58,14;
;;;83108; Familias e instituciones sin fines de lucro;58,14;;
;;;;TOTAL ACTIVOS FINANCIEROS;;63,63;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Justicia;;134.941,34;
 ; ;;;;;;
;;;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;134.941,34;
 ; ;;;;;;
 ; ;;;;;;
v;02;;;SECRETARÍA DE ESTADO DE JUSTICIA;;;
v;;112A;;Tribunales de Justicia y Ministerio Fiscal;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;12.416,77;
;;;100;Retribuciones básicas y otras remuneraciones;;12.416,77;
;;;10000; Retribuciones básicas;4.760,88;;
;;;10001; Retribuciones complementarias;7.655,89;;
v;;;12;Funcionarios;;1.179.592,09;
;;;120;Retribuciones básicas;;600.778,13;
;;;12000; Sueldos del grupo A1 y grupo A;231.871,33;;
;;;12001; Sueldos del grupo A2 y grupo B;43.722,60;;
;;;12002; Sueldos del grupo C1 y grupo C;60.722,86;;
;;;12003; Sueldos del grupo C2 y grupo D;24.636,73;;
;;;12005; Trienios;107.500,14;;
;;;12006; Pagas extraordinarias;132.324,47;;
;;;121;Retribuciones complementarias;;567.067,11;
;;;12100; Complemento de destino;412.835,07;;
;;;12101; Complemento específico;114.455,39;;
;;;12102; Indemnización por residencia;5.434,80;;
