Servicio;Programa;Económica;Explicación;Total (miles €);Total (euros)
1;111N;10000;Retribuciones básicas de altos cargos;172,31;172.310,00
1;111N;10001;Retribuciones complementarias de altos cargos;238,57;238.570,00
1;111N;11000;Retribuciones básicas de personal eventual;301,05;301.050,00
1;111N;11001;Retribuciones complementarias de personal eventual;512,08;512.080,00
1;111N;12000;Sueldos grupo A1 y A;1.397,22;1.397.220,00
1;111N;12001;Sueldos grupo A2 y B;1.053,92;1.053.920,00
1;111N;12002;Sueldos grupo C1 y C;1.273,84;1.273.840,00
1;111N;12003;Sueldos grupo C2 y D;1.100,33;1.100.330,00
1;111N;12005;Trienios;1.285,42;1.285.420,00
1;111N;12006;Pagas extraordinarias;1.318,91;1.318.910,00
1;111N;12100;Complemento de destino;3.387,58;3.387.580,00
1;111N;12101;Complemento específico;5.167,76;5.167.760,00
1;111N;12181;Necesidades adicionales;77.176,00;77.176.000,00
1;111N;12300;Indemnización por destino en el extranjero;1.148,07;1.148.070,00
1;111N;13000;Retribuciones básicas de laboral fijo;2.321,80;2.321.800,00
1;111N;13001;Otras remuneraciones de laboral fijo;191,18;191.180,00
1;111N;150;Productividad;5.846,74;5.846.740,00
1;111N;151;Gratificaciones;67,81;67.810,00
1;111N;16000;Seguridad Social;1.992,73;1.992.730,00
1;111N;16200;Formación y perfeccionamiento del personal;70,28;70.280,00
1;111N;16201;Economatos y comedores;233,79;233.790,00
1;111N;16204;Acción social;188,96;188.960,00
1;111N;16205;Seguros;33,1;33.100,00
1;111N;16209;Otros gastos sociales;303,93;303.930,00
—;—;—;TOTAL GASTOS DE PERSONAL;107.279,54;107.279.540,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;14.593,80;14.593.800,00
—;—;—;TOTAL GASTOS FINANCIEROS;15;15.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;241,83;241.830,00
—;—;—;TOTAL INVERSIONES REALES;12.747,54;12.747.540,00
—;—;—;TOTAL ACTIVOS FINANCIEROS;63,63;63.630,00
—;—;—;TOTAL Dirección y Servicios Generales de Justicia;134.941,34;134.941.340,00
2;112A;10000;Retribuciones básicas de altos cargos;4.760,88;4.760.880,00
2;112A;10001;Retribuciones complementarias de altos cargos;7.655,89;7.655.890,00
2;112A;12000;Sueldos grupo A1 y A;231.871,33;231.871.330,00
2;112A;12001;Sueldos grupo A2 y B;43.722,60;43.722.600,00
2;112A;12002;Sueldos grupo C1 y C;60.722,86;60.722.860,00
2;112A;12003;Sueldos grupo C2 y D;24.636,73;24.636.730,00
2;112A;12005;Trienios;107.500,14;107.500.140,00
2;112A;12006;Pagas extraordinarias;132.324,47;132.324.470,00
2;112A;12100;Complemento de destino;412.835,07;412.835.070,00
2;112A;12101;Complemento específico;114.455,39;114.455.390,00
2;112A;12102;Indemnización por residencia;5.434,80;5.434.800,00
2;112A;12103;Otros complementos;34.341,85;34.341.850,00
2;112A;12300;Indemnización por destino en el extranjero;816,6;816.600,00
2;112A;125;Retribuciones a personal sustituto;10.930,25;10.930.250,00
2;112A;13000;Retribuciones básicas de laboral fijo;12.768,93;12.768.930,00
2;112A;13001;Otras remuneraciones de laboral fijo;2.009,99;2.009.990,00
2;112A;143;Otro personal;13.759,47;13.759.470,00
2;112A;151;Gratificaciones;547,44;547.440,00
2;112A;16000;Seguridad Social;98.258,55;98.258.550,00
2;112A;16200;Formación y perfeccionamiento del personal;543,15;543.150,00
2;112A;16204;Acción social;682,18;682.180,00
2;112A;16205;Seguros;40,05;40.050,00
