Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total (miles euros);Total (euros)
337B;Conservación y restauración de bienes culturales;—;—;—;8.027,14;—;—;—;8.027,14;8.027,14;8.027.140,00
42KD;C11.I04 Transición Energética AGE;—;—;—;—;—;—;30.410,76;30.410,76;30.410,76;30.410.760,00
422A;Incentivos regionales a la localización industrial;2.017,63;27,63;10;—;—;142.000,00;—;144.055,26;144.055,26;144.055.260,00
462N;Investigación y estudios estadísticos y económicos;4.961,20;708,89;—;186,19;620;—;35,74;6.512,02;6.512,02;6.512.020,00
467G;I+D Sociedad de la Información;—;1.668,00;—;—;13.183,76;—;—;14.851,76;14.851,76;14.851.760,00
492N;Mercado de Tabacos;3.193,99;4.443,20;90,15;—;990,57;—;—;8.717,91;8.717,91;8.717.910,00
92SC;Competencias digitales para el empleo;—;2.941,00;—;—;—;—;—;2.941,00;2.941,00;2.941.000,00
921T;Servicios de transportes de Ministerios;42.124,57;4.783,23;25;—;1.500,00;—;101,52;48.534,32;48.534,32;48.534.320,00
922N;Relaciones financieras con Entes Territoriales;7.458,52;363,81;—;—;1.076,37;—;16.000.000,00;16.008.898,70;16.008.898,70;16.008.898.700,00
923A;Gestión del Patrimonio del Estado;6.684,44;5.829,54;90;17,31;43.911,00;—;170.250,00;226.782,29;226.782,29;226.782.290,00
923M;Dirección y Servicios Generales Hacienda;154.332,03;74.577,86;3.890,00;841.739,71;11.507,52;—;3.604,35;1.089.651,47;1.089.651,47;1.089.651.470,00
923N;Formación del personal de Economía y Hacienda;15.946,53;8.111,04;6,75;210;810;—;35,74;25.120,06;25.120,06;25.120.060,00
93KE;C11.I05 Transformación Administración Financiera y Tributaria;—;467;—;—;—;—;—;467;467;467.000,00
931N;Política presupuestaria;41.930,79;9.677,00;—;418,58;25.062,86;—;—;77.089,23;77.089,23;77.089.230,00
931O;Política tributaria;5.656,06;278,84;—;—;34,31;—;—;5.969,21;5.969,21;5.969.210,00
931P;Control interno y Contabilidad Pública;88.853,87;1.735,46;—;—;1.699,69;—;—;92.289,02;92.289,02;92.289.020,00
931Q;Supervisión de la Política Fiscal;6.731,21;3.445,69;30;160;200;—;12;10.578,90;10.578,90;10.578.900,00
932A;Aplicación del sistema tributario estatal;1.029.501,18;261.557,15;50;1.040,80;102.991,79;—;732,97;1.395.873,89;1.395.873,89;1.395.873.890,00
932M;Gestión del catastro inmobiliario;84.796,22;6.778,76;50,67;24,94;22.387,34;—;—;114.037,93;114.037,93;114.037.930,00
932N;Reclamaciones económico-administrativas;29.264,49;601,21;—;1;1.430,56;—;—;31.297,26;31.297,26;31.297.260,00
TOTAL CONSOLIDADO;;1.523.452,73;387.995,31;4.242,57;851.825,67;227.405,77;142.000,00;16.205.183,08;19.342.105,13;19.342.105,13;19.342.105.130,00
000X;Transferencias y libramientos internos;—;—;1.316.433,36;—;105.545,79;—;—;1.421.979,15;1.421.979,15;1.421.979.150,00
TOTAL GENERAL;;1.523.452,73;387.995,31;1.320.675,93;851.825,67;227.405,77;247.545,79;16.205.183,08;20.764.084,28;20.764.084,28;20.764.084.280,00
