;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 30 MINISTERIO DE IGUALDAD;
;Programa: 232M Dirección y Servicios Generales de Igualdad;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;30.01;;Total;
1;GASTOS DE PERSONAL;9.185,15;;9.185,15;
10; Altos cargos;269,60;;269,60;
11; Personal eventual;518,07;;518,07;
12; Funcionarios;5.016,14;;5.016,14;
13; Laborales;587,98;;587,98;
15; Incentivos al rendimiento;1.713,83;;1.713,83;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.079,53;;1.079,53;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.470,37;;3.470,37;
20; Arrendamientos y cánones;90,00;;90,00;
21; Reparaciones, mantenimiento y conservación;357,25;;357,25;
22; Material, suministros y otros;2.498,12;;2.498,12;
23; Indemnizaciones por razón del servicio;375,00;;375,00;
24; Gastos de publicaciones;150,00;;150,00;
6;INVERSIONES REALES;620,20;;620,20;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;117,00;;117,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;303,10;;303,10;
64; Gastos de inversiones de carácter inmaterial;200,10;;200,10;
8;ACTIVOS FINANCIEROS;25,00;;25,00;
83; Concesión de préstamos fuera del Sector Público;25,00;;25,00;
;TOTAL;13.300,72;;13.300,72;
;;



