Económica;Explicación;30.01;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;9.185,15;9.185,15;9.185.150,00
10;Altos cargos;269,6;269,6;269.600,00
11;Personal eventual;518,07;518,07;518.070,00
12;Funcionarios;5.016,14;5.016,14;5.016.140,00
13;Laborales;587,98;587,98;587.980,00
15;Incentivos al rendimiento;1.713,83;1.713,83;1.713.830,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.079,53;1.079,53;1.079.530,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.470,37;3.470,37;3.470.370,00
20;Arrendamientos y cánones;90;90;90.000,00
21;Reparaciones, mantenimiento y conservación;357,25;357,25;357.250,00
22;Material, suministros y otros;2.498,12;2.498,12;2.498.120,00
23;Indemnizaciones por razón del servicio;375;375;375.000,00
24;Gastos de publicaciones;150;150;150.000,00
6;INVERSIONES REALES;620,2;620,2;620.200,00
62;Inversión nueva asociada al funcionamiento operativo;117;117;117.000,00
63;Inversión de reposición asociada al funcionamiento operativo;303,1;303,1;303.100,00
64;Gastos de inversiones de carácter inmaterial;200,1;200,1;200.100,00
8;ACTIVOS FINANCIEROS;25;25;25.000,00
83;Concesión de préstamos fuera del Sector Público;25;25;25.000,00
—;TOTAL PROGRAMA 232M;—;13.300,72;13.300.720,00
