;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total;
143A; Cooperación para el desarrollo;893,98;;;300,00;;;;1.193,98;1.193,98;
223A; Prestaciones de garantía salarial;18.630,43;9.553,16;202,24;800.000,00;1.467,50;;147,12;830.000,45;830.000,45;
224A; Prestaciones económicas por cese de actividad;;;;6.136,49;;;;6.136,49;6.136,49;
241A; Fomento de la inserción y estabilidad laboral;23.736,20;24.163,52;160,56;4.069.193,94;3.610,92;;79,40;4.120.944,54;4.120.944,54;
241B; Formación Profesional para el Empleo;16.912,58;14.958,12;;2.092.702,83;978,89;678,89;79,40;2.126.310,71;2.126.310,71;
241N; Desarrollo de la economía social y de la responsabilidad social de las empresas;1.718,10;150,00;;7.943,38;;;;9.811,48;9.811,48;
241O; Desarrollo del trabajo autónomo;;3.143,04;;3.696,12;;;;6.839,16;6.839,16;
251M; Prestaciones a los desempleados;330.739,95;37.809,83;79,20;20.901.431,19;7.324,51;;635,20;21.278.019,88;21.278.019,88;
281M; Dirección y Servicios Generales de Trabajo y Economía Social;52.654,27;27.639,46;43,66;21.099,29;17.401,09;;64,97;118.902,74;118.902,74;
291A; Inspección y control de Seguridad y Protección Social;169.053,15;29.710,60;;;4.291,73;;75,36;203.130,84;203.130,84;
494M; Administración de las relaciones laborales y condiciones de trabajo;22.542,32;20.140,91;0,46;36.353,11;1.355,00;90,00;86,71;80.568,51;80.568,51;
912P; Asesoramiento del Gobierno en materia social, económica y laboral;4.414,06;2.017,82;;1.512,45;1.249,97;;26,55;9.220,85;9.220,85;
;TOTAL CONSOLIDADO;641.295,04;169.286,46;486,12;27.940.368,80;37.679,61;768,89;1.194,71;28.791.079,63;28.791.079,63;
000X; Transferencias y libramientos internos;;;;558.898,59;;5.334,03;;564.232,62;564.232,62;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;558.898,59;;5.334,03;;564.232,62;564.232,62;
;TOTAL;641.295,04;169.286,46;486,12;28.499.267,39;37.679,61;6.102,92;1.194,71;29.355.312,25;29.355.312,25;
;;



