Económica;Explicación;17.101;17.102;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;21.118,43;2.929,92;24.048,35;24.048.350,00
12;Funcionarios;10.930,61;2.040,55;12.971,16;12.971.160,00
13;Laborales;3.311,71;371,23;3.682,94;3.682.940,00
14;Otro personal;1.688,95;–;1.688,95;1.688.950,00
15;Incentivos al rendimiento;1.320,55;252,07;1.572,62;1.572.620,00
16;Cuotas, prestaciones y gastos sociales;3.866,61;266,07;4.132,68;4.132.680,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.179,08;2.523,30;8.702,38;8.702.380,00
20;Arrendamientos y cánones;19;29;48,36;48.360,00
21;Reparaciones, mantenimiento y conservación;911,24;401,02;1.312,26;1.312.260,00
22;Material, suministros y otros;4.881,67;1.673,01;6.554,68;6.554.680,00
23;Indemnizaciones por razón del servicio;318,38;279,47;597,85;597.850,00
24;Gastos de publicaciones;48,62;140,61;189,23;189.230,00
3;GASTOS FINANCIEROS;–;12,78;12,78;12.780,00
4;TRANSFERENCIAS CORRIENTES;319,72;26;345,72;345.720,00
6;INVERSIONES REALES;6.744,47;7.839,36;14.583,83;14.583.830,00
62;Inversión nueva asociada al funcionamiento operativo;1.360,00;7.739,36;9.099,36;9.099.360,00
63;Inversión de reposición asociada al funcionamiento operativo;4.755,00;50;4.805,00;4.805.000,00
64;Gastos de inversiones de carácter inmaterial;625,00;50,00;675,00;675.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;4,47;–;4,47;4.470,00
8;ACTIVOS FINANCIEROS;38,32;–;38,32;38.320,00
—;TOTAL CONSOLIDADO;34.400,02;13.331,36;47.731,38;47.731.380,00
4;TRANSFERENCIAS CORRIENTES;–;15;15;15.000,00
9;PASIVOS FINANCIEROS;–;27,6;27,6;27.600,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–;42,6;42,6;42.600,00
—;TOTAL;34.400,02;13.373,96;47.773,98;47.773.980,00
