;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;24.048,35;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.702,38;
3; GASTOS FINANCIEROS;12,78;
4; TRANSFERENCIAS CORRIENTES;360,72;
;TOTAL OPERACIONES CORRIENTES;33.124,23;
6; INVERSIONES REALES;14.583,83;
;TOTAL OPERACIONES DE CAPITAL;14.583,83;
;TOTAL OPERACIONES NO FINANCIERAS;47.708,06;
8; ACTIVOS FINANCIEROS;38,32;
;TOTAL Capítulos 1-8;47.746,38;
9; PASIVOS FINANCIEROS;27,60;
;TOTAL Capítulo 9;27,60;
;TOTAL PRESUPUESTO;47.773,98;
4; TRANSFERENCIAS CORRIENTES;-15,00;
;TOTAL Capítulos 1-8;-15,00;
9; PASIVOS FINANCIEROS;-27,60;
;TOTAL Capítulo 9;-27,60;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-42,60;
;TOTAL CONSOLIDADO;47.731,38;
;;



