Clasificación por programas;Explicación;Estado ;OO.AA. ;Resto Entidades (miles €);Total (miles  euros);Total (euros)
143A;Cooperación para el desarrollo;1.193,98;—;—;1.193,98;1.193.980,00
223A;Prestaciones de garantía salarial;—;830.000,45;—;830.000,45;830.000.450,00
224A;Prestaciones económicas por cese de actividad;—;6.136,49;—;6.136,49;6.136.490,00
241A;Fomento de la inserción y estabilidad laboral;—;4.120.944,54;—;4.120.944,54;4.120.944.540,00
241B;Formación Profesional para el Empleo;—;2.126.310,71;—;2.126.310,71;2.126.310.710,00
241N;Economía social y responsabilidad social de las empresas;9.811,48;—;—;9.811,48;9.811.480,00
241O;Desarrollo del trabajo autónomo;6.839,16;—;—;6.839,16;6.839.160,00
251M;Prestaciones a los desempleados;—;21.278.019,88;—;21.278.019,88;21.278.019.880,00
281M;Dirección y Servicios Generales de Trabajo y Economía Social;118.902,74;—;—;118.902,74;118.902.740,00
291A;Inspección y control de Seguridad y Protección Social;—;203.130,84;—;203.130,84;203.130.840,00
494M;Relaciones laborales y condiciones de trabajo;13.065,85;67.502,66;—;80.568,51;80.568.510,00
912P;Asesoramiento del Gobierno en materia social, económica y laboral;—;—;9.220,85;9.220,85;9.220.850,00
TOTAL CONSOLIDADO;;149.813,21;28.632.045,57;9.220,85;28.791.079,63;28.791.079.630,00
000X;Transferencias y libramientos internos;326.975,41;237.257,21;—;564.232,62;564.232.620,00
TOTAL GENERAL;;476.788,62;28.869.302,78;9.220,85;29.355.312,25;29.355.312.250,00
