;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 8;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
143A; Cooperación para el desarrollo;1.193,98;;;1.193,98;
223A; Prestaciones de garantía salarial;;830.000,45;;830.000,45;
224A; Prestaciones económicas por cese de actividad;;6.136,49;;6.136,49;
241A; Fomento de la inserción y estabilidad laboral;;4.120.944,54;;4.120.944,54;
241B; Formación Profesional para el Empleo;;2.126.310,71;;2.126.310,71;
241N; Desarrollo de la economía social y de la responsabilidad social de las empresas;9.811,48;;;9.811,48;
241O; Desarrollo del trabajo autónomo;6.839,16;;;6.839,16;
251M; Prestaciones a los desempleados;;21.278.019,88;;21.278.019,88;
281M; Dirección y Servicios Generales de Trabajo y Economía Social;118.902,74;;;118.902,74;
291A; Inspección y control de Seguridad y Protección Social;;203.130,84;;203.130,84;
494M; Administración de las relaciones laborales y condiciones de trabajo;13.065,85;67.502,66;;80.568,51;
912P; Asesoramiento del Gobierno en materia social, económica y laboral;;;9.220,85;9.220,85;
;TOTAL CONSOLIDADO;149.813,21;28.632.045,57;9.220,85;28.791.079,63;
000X; Transferencias y libramientos internos;326.975,41;237.257,21;;564.232,62;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;326.975,41;237.257,21;;564.232,62;
;TOTAL;476.788,62;28.869.302,78;9.220,85;29.355.312,25;
;;



