;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulo 9;
;;
;Sección: 06 DEUDA PÚBLICA;
;Capítulo: 9 PASIVOS FINANCIEROS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;Total;
951M; Amortización y gastos financieros de la deuda pública en euros;97.521.737,01;97.521.737,01;
;TOTAL CONSOLIDADO;97.521.737,01;97.521.737,01;
;TOTAL;97.521.737,01;97.521.737,01;
;;



