Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;58.731,69;58.731.690
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;28.211,23;28.211.230
3;GASTOS FINANCIEROS;36;36.000
4;TRANSFERENCIAS CORRIENTES;1.052.325,09;1.052.325.090
—;TOTAL OPERACIONES CORRIENTES;1.139.304,01;1.139.304.010
6;INVERSIONES REALES;6.384,48;6.384.480
7;TRANSFERENCIAS DE CAPITAL;3.272.667,85;3.272.667.850
—;TOTAL OPERACIONES DE CAPITAL;3.279.052,33;3.279.052.330
—;TOTAL OPERACIONES NO FINANCIERAS;4.418.356,34;4.418.356.340
8;ACTIVOS FINANCIEROS;3.029.918,53;3.029.918.530
—;TOTAL PRESUPUESTO;7.448.274,87;7.448.274.870
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–714.096,27;–714.096.270
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–1.799.967,10;–1.799.967.100
8;ACTIVOS FINANCIEROS (entre subsectores);–4.163,97;–4.163.970
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–2.518.227,34;–2.518.227.340
—;TOTAL CONSOLIDADO;4.930.047,53;4.930.047.530
