Económica;Explicación;28.01;28.02;28.06;28.07;28.08;28.09;28.50;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;41.334,30;2.327,22;2.319,74;2.616,93;2.442,46;7.691,04;—;58.731,69;58.731.690
10;Altos cargos;279,72;61,04;71,16;61,04;71,16;71,16;—;615,28;615.280
11;Personal eventual;685,56;—;—;—;—;—;—;685,56;685.560
12;Funcionarios;35.937,63;1.993,49;1.738,95;2.020,27;1.891,98;6.457,54;—;50.039,86;50.039.860
13;Laborales;612,62;—;205,09;91,33;219,4;498,91;—;1.627,35;1.627.350
15;Incentivos al rendimiento;1.930,48;—;—;—;—;—;—;1.930,48;1.930.480
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.888,29;272,69;304,54;444,29;259,92;663,43;—;3.833,16;3.833.160
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.328,91;766,27;10.389,09;527,47;2.538,68;5.660,81;—;28.211,23;28.211.230
20;Arrendamientos y cánones;622,43;—;—;—;—;—;—;622,43;622.430
21;Reparaciones, mantenimiento y conservación;507,26;—;4,27;—;—;—;—;511,53;511.530,00
22;Material, suministros y otros;6.733,23;561,8;10.207,01;232,53;2.326,74;5.137,69;—;25.199,00;25.199.000
23;Indemnizaciones por razón del servicio;465,99;1,47;182,08;294,94;211,94;518,85;—;1.675,27;1.675.270
24;Gastos de publicaciones;—;—;—;—;—;—;203;203;203.000,00
3;GASTOS FINANCIEROS;—;—;1;5;30;—;—;36;36.000,00
35;Intereses de demora y otros gastos financieros;—;—;1;5;30;—;—;36;36.000,00
4;TRANSFERENCIAS CORRIENTES;19.120,79;14.260,42;196.381,09;17.422,64;91.043,88;—;—;338.228,82;338.228.820,00
6;INVERSIONES REALES;4.850,59;—;300,00;543,14;545,75;145,00;—;6.384,48;6.384.480,00
7;TRANSFERENCIAS DE CAPITAL;5.016,85;—;110.774,50;53.715,75;526.231,05;133.632,60;643.330,00;1.472.700,75;1.472.700.750
8;ACTIVOS FINANCIEROS;—;—;20;1.857.464,56;938.270,00;230.000,00;—;3.025.754,56;3.025.754.560
22; Material, suministros y otros;6.733,23;561,8;10.207,01;232,53;2.326,74;5.137,69;;;25.199,00
23; Indemnizaciones por razón del servicio;465,99;1,47;182,08;294,94;211,94;518,85;;;1.675,27
24; Gastos de publicaciones;;203;;;;;;;203
3;GASTOS FINANCIEROS;;;1;;5;30;;;36
