Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;337B;443;"Al Consorcio ""Ciudad de Santiago de Compostela""";4.783,16;4.783.160,00
1;337B;444;Al Consorcio de la Ciudad de Toledo;1.621,99;1.621.990,00
1;337B;445;Al Consorcio de la Ciudad de Cuenca;1.621,99;1.621.990,00
1;337B;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones, etc.;8.027,14;8.027.140,00
1;467G;22706;Estudios y trabajos técnicos;1.668,00;1.668.000,00
1;467G;630;Inversión de reposición asociada al funcionamiento operativo;2.311,89;2.311.890,00
1;467G;640;Gastos en inversiones de carácter inmaterial;1.671,87;1.671.870,00
1;923M;10000;Retribuciones básicas (Altos cargos);133,52;133.520,00
1;923M;10001;Retribuciones complementarias (Altos cargos);136,08;136.080,00
1;923M;11000;Retribuciones básicas (Personal eventual);102,64;102.640,00
1;923M;11001;Retribuciones complementarias (Personal eventual);218,78;218.780,00
1;923M;12000;Sueldos grupo A1 y A;1.322,91;1.322.910,00
1;923M;12001;Sueldos grupo A2 y B;3.174,63;3.174.630,00
1;923M;12100;Complemento de destino;6.317,33;6.317.330,00
1;923M;12101;Complemento específico;8.305,91;8.305.910,00
1;923M;12181;Necesidades adicionales;68.879,00;68.879.000,00
1;923M;10000;Retribuciones básicas (Altos cargos);133,52;133.520,00
1;923M;10001;Retribuciones complementarias (Altos cargos);136,08;136.080,00
1;923M;11000;Retribuciones básicas (Personal eventual);102,64;102.640,00
1;923M;11001;Retribuciones complementarias (Personal eventual);218,78;218.780,00
1;923M;12000;Sueldos grupo A1 y A;1.322,91;1.322.910,00
1;923M;12001;Sueldos grupo A2 y B;3.174,63;3.174.630,00
1;923M;12002;Sueldos grupo C1 y C;3.141,18;3.141.180,00
1;923M;12003;Sueldos grupo C2 y D;1.827,19;1.827.190,00
1;923M;12005;Trienios;2.753,32;2.753.320,00
1;923M;12006;Pagas extraordinarias;2.713,85;2.713.850,00
1;923M;12100;Complemento de destino;6.317,33;6.317.330,00
1;923M;12101;Complemento específico;8.305,91;8.305.910,00
1;923M;12102;Indemnización por residencia;209,47;209.470,00
1;923M;12103;Otros complementos;3.071,00;3.071.000,00
1;923M;12181;Necesidades adicionales;68.879,00;68.879.000,00
1;923M;13000;Retribuciones básicas (Laboral fijo);4.945,55;4.945.550,00
1;923M;13001;Otras remuneraciones (Laboral fijo);309,27;309.270,00
1;923M;150;Productividad;16.081,88;16.081.880,00
1;923M;151;Gratificaciones;660,24;660.240,00
1;923M;16000;Seguridad Social;3.703,49;3.703.490,00
1;923M;16200;Formación y perfeccionamiento del personal;642,38;642.380,00
1;923M;16201;Economatos y comedores;32,1;32.100,00
1;923M;16204;Acción social;1.080,44;1.080.440,00
1;923M;16205;Seguros;94,79;94.790,00
1;923M;16209;Otros;284,55;284.550,00
1;923M;202;Arrendamientos de edificios y otras construcciones;27.401,68;27.401.680,00
1;923M;205;Arrendamientos de mobiliario y enseres;7,64;7.640,00
1;923M;208;Arrendamientos de otro inmovilizado material;9;9.000,00
1;923M;212;Reparaciones en edificios y construcciones;3.529,40;3.529.400,00
1;923M;213;Reparaciones en maquinaria e instalaciones;1.235,34;1.235.340,00
1;923M;215;Reparaciones en mobiliario y enseres;217,9;217.900,00
1;923M;216;Reparaciones en equipos informáticos;468,47;468.470,00
1;923M;22000;Material de oficina ordinario no inventariable;466,45;466.450,00
1;923M;22001;Prensa, revistas, libros y publicaciones;151,46;151.460,00
1;923M;22002;Material informático no inventariable;148;148.000,00
1;923M;22100;Energía eléctrica;7.604,26;7.604.260,00
1;923M;22101;Agua;143,62;143.620,00
1;923M;22102;Gas;253,48;253.480,00
1;923M;22103;Combustible;1.489,73;1.489.730,00
1;923M;22104;Vestuario;15,84;15.840,00
1;923M;22106;Productos farmacéuticos y material sanitario;18,49;18.490,00
1;923M;22109;Labores Fábrica Nacional Moneda y Timbre;30;30.000,00
1;923M;22111;Repuestos de maquinaria y transporte;98,69;98.690,00
1;923M;22112;Material electrónico, eléctrico y comunicaciones;62,88;62.880,00
1;923M;22199;Otros suministros;939,66;939.660,00
1;923M;22200;Servicios de telecomunicaciones;900;900.000,00
1;923M;22299;Otras comunicaciones;20,6;20.600,00
1;923M;223;Transportes;38,9;38.900,00
1;923M;22502;Tributos locales;3.686,27;3.686.270,00
1;923M;22503;Tasa de supervisión (L.O. 6/2013);3.574,23;3.574.230,00
1;923M;22601;Atenciones protocolarias y representativas;88,58;88.580,00
1;923M;22602;Publicidad y propaganda;46,09;46.090,00
1;923M;22603;Jurídicos, contenciosos;6.906,49;6.906.490,00
1;923M;22606;Reuniones, conferencias y cursos;102,26;102.260,00
1;923M;22607;Oposiciones y pruebas selectivas;9,37;9.370,00
1;923M;22699;Otros gastos diversos;14,18;14.180,00
1;923M;22700;Limpieza y aseo;3.626,83;3.626.830,00
1;923M;22701;Seguridad;3.372,79;3.372.790,00
1;923M;22704;Custodia, depósito y almacenaje;50;50.000,00
1;923M;22706;Estudios y trabajos técnicos;2.216,42;2.216.420,00
1;923M;22716;Para AIREF por revisión de áreas de gasto público;1.295,28;1.295.280,00
1;923M;22799;Otros trabajos realizados por empresas y profesionales;1.599,00;1.599.000,00
1;923M;230;Dietas;293,99;293.990,00
1;923M;231;Locomoción;297,38;297.380,00
1;923M;232;Traslado;46,41;46.410,00
1;923M;233;Otras indemnizaciones;610;
1;923M;240;Gastos de edición y distribución;218,23;218.230,00
1;923M;352;Intereses de demora;3.890,00;3.890.000,00
1;923M;44200;Prestación del servicio público de radio y televisión (RTVE);478.229,28;478.229.280,00
1;923M;44201;Actividades ordinarias de la Orquesta y Coro de RTVE;11.322,96;11.322.960,00
1;923M;448;Al Consorcio de la Zona Especial Canaria;1.290,00;1.290.000,00
1;923M;471;Reclamaciones y sentencias por responsabilidad patrimonial del Estado;320.000,00;320.000.000,00
1;923M;48000;Becas, congresos, cursos, seminarios y otras subvenciones;515,85;515.850,00
1;923M;481;Hermandad de Jubilados del Ministerio de Economía y Hacienda;17,88;17.880,00
1;923M;483;Reclamaciones y sentencias por responsabilidad patrimonial del Estado;30.000,00;30.000.000,00
1;923M;620;Inversión nueva asociada al funcionamiento operativo;20;20.000,00
1;923M;630;Inversión de reposición asociada al funcionamiento operativo;10.911,80;10.911.800,00
1;923M;640;Gastos en inversiones de carácter inmaterial;254,5;254.500,00
1;923M;83008;Préstamos a corto plazo a familias e instituciones sin fines de lucro;604,35;604.350,00
1;923M;871;Aportación patrimonial al Consorcio Zona Franca de Gran Canaria;450;450.000,00
1;923M;874;Aportación patrimonial al Consorcio Zona Franca de Santa Cruz de Tenerife;450;450.000,00
1;923M;875;Aportación patrimonial al Consorcio Zona Franca de Santander;450;450.000,00
1;923M;876;Aportación patrimonial al Consorcio Zona Franca de Sevilla;1.650,00;1.650.000,00
;;;TOTAL ACTIVOS FINANCIEROS;3.604,35;3.604.350,00
;;;TOTAL Dirección y Servicios Generales de Hacienda y Función Pública;1.063.106,35;1.063.106.350,00
2;923M;10000;Retribuciones básicas (Altos cargos);18,92;18.920,00
2;923M;10001;Retribuciones complementarias (Altos cargos);42,13;42.130,00
2;923M;12000;Sueldos grupo A1 y A;847,26;847.260,00
2;923M;12001;Sueldos grupo A2 y B;462,7;462.700,00
2;923M;12002;Sueldos grupo C1 y C;332,94;332.940,00
2;923M;12003;Sueldos grupo C2 y D;273,08;273.080,00
2;923M;12005;Trienios;509,02;509.020,00
2;923M;12006;Pagas extraordinarias;532,47;532.470,00
2;923M;12100;Complemento de destino;1.389,55;1.389.550,00
2;923M;12101;Complemento específico;2.068,13;2.068.130,00
2;923M;12300;Indemnización por destino en el extranjero;1.827,32;1.827.320,00
2;923M;13000;Retribuciones básicas (Laboral fijo);146,05;146.050,00
2;923M;13001;Otras remuneraciones (Laboral fijo);10,54;10.540,00
2;923M;16000;Seguridad Social;680;680.000,00
2;923M;202;Arrendamientos de edificios y otras construcciones;15;15.000,00
2;923M;206;Arrendamientos de equipos para procesos de información;3;3.000,00
2;923M;20615;Arrendamientos de equipos en el exterior;3;3.000,00
2;923M;208;Arrendamientos de otro inmovilizado material;1;1.000,00
2;923M;20815;Arrendamientos de inmovilizado en el exterior;1;1.000,00
2;923M;218;Reparaciones en bienes situados en el exterior;20;20.000,00
2;923M;220;Material de oficina;166,32;166.320,00
2;923M;22001;Prensa, revistas, libros y publicaciones;145,98;145.980,00
2;923M;22002;Material informático no inventariable;7;7.000,00
2;923M;22015;Material de oficina en el exterior;13,34;13.340,00
2;923M;22115;Suministros en el exterior;10;10.000,00
2;923M;22215;Comunicaciones en el exterior;17;17.000,00
2;923M;22601;Atenciones protocolarias y representativas;8,16;8.160,00
2;923M;22615;Gastos diversos en el exterior;7,83;7.830,00
2;923M;22706;Estudios y trabajos técnicos;422,73;422.730,00
2;923M;22715;Trabajos realizados en el exterior;15;15.000,00
2;923M;240;Gastos de edición y distribución;218,23;218.230,00
2;923M;62;Inversión nueva asociada al funcionamiento operativo de los servicios;42,34;42.340,00
2;923M;620;Inversión nueva asociada al funcionamiento operativo de los servicios;42,34;42.340,00
2;923M;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;47,5;47.500,00
2;923M;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;47,5;47.500,00
2;923M;64;Gastos de inversiones de carácter inmaterial;485,88;485.880,00
2;923M;640;Gastos en inversiones de carácter inmaterial;485,88;485.880,00
4;467G;630;Inversión de reposición asociada al funcionamiento operativo;760;760.000,00
4;467G;640;Gastos en inversiones de carácter inmaterial;8.440,00;8.440.000,00
4;923A;10000;Retribuciones básicas (Altos cargos);18,92;18.920,00
4;923A;10001;Retribuciones complementarias (Altos cargos);42,13;42.130,00
4;923A;12000;Sueldos grupo A1 y A;743,21;743.210,00
4;923A;12001;Sueldos grupo A2 y B;700,48;700.480,00
4;923A;12002;Sueldos grupo C1 y C;188,19;188.190,00
4;923A;12003;Sueldos grupo C2 y D;140,56;140.560,00
4;923A;12005;Trienios;518,15;518.150,00
4;923A;12006;Pagas extraordinarias;487,8;487.800,00
4;923A;12100;Complemento de destino;1.285,99;1.285.990,00
4;923A;12101;Complemento específico;2.010,71;2.010.710,00
4;923A;13000;Retribuciones básicas (Laboral fijo);45,4;45.400,00
4;923A;13001;Otras remuneraciones (Laboral fijo);2,9;2.900,00
4;923A;16000;Seguridad Social;500;500.000,00
—;—;—;TOTAL GASTOS DE PERSONAL;6.684,44;6.684.440,00
4;923A;212;Reparaciones en edificios y construcciones;783,12;783.120,00
4;923A;215;Reparaciones en mobiliario y enseres;18,58;18.580,00
4;923A;216;Reparaciones en equipos informáticos;192,14;192.140,00
4;923A;22100;Energía eléctrica;64,62;64.620,00
4;923A;22101;Agua;117,2;117.200,00
4;923A;22502;Tributos locales;1.184,03;1.184.030,00
4;923A;22601;Atenciones protocolarias y representativas;2,34;2.340,00
4;923A;22602;Publicidad y propaganda;26,14;26.140,00
4;923A;22603;Jurídicos, contenciosos;147,37;147.370,00
4;923A;22606;Reuniones, conferencias y cursos;5,9;5.900,00
4;923A;22700;Limpieza y aseo;141,83;141.830,00
4;923A;22701;Seguridad;357,61;357.610,00
4;923A;22702;Valoraciones y peritajes;3,45;3.450,00
4;923A;22704;Custodia, depósito y almacenaje;2,54;2.540,00
4;923A;22706;Estudios y trabajos técnicos;2.757,58;2.757.580,00
4;923A;22799;Otros trabajos realizados por empresas y profesionales;25,09;25.090,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.829,54;5.829.540,00
4;923A;352;Intereses de demora;90;90.000,00
—;—;—;TOTAL GASTOS FINANCIEROS;90;90.000,00
4;923A;482;Cuota al Foro de Contratación Socialmente Responsable;8;8.000,00
4;923A;494;Cuota Organización PuRE-net;2,5;2.500,00
4;923A;496;Cuota a la Asociación XBRL España;2;2.000,00
4;923A;497;Cuota al Centro Europeo de Empresas Públicas (CEEP);4,81;4.810,00
