Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;420.994,05;420.994.050,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;102.005,11;102.005.110,00
3;GASTOS FINANCIEROS;4.040,67;4.040.670,00
4;TRANSFERENCIAS CORRIENTES;2.145.208,38;2.145.208.380,00
;TOTAL OPERACIONES CORRIENTES;2.672.248,21;2.672.248.210,00
6;INVERSIONES REALES;120.293,41;120.293.410,00
7;TRANSFERENCIAS DE CAPITAL;247.545,79;247.545.790,00
;TOTAL OPERACIONES DE CAPITAL;367.839,20;367.839.200,00
;TOTAL OPERACIONES NO FINANCIERAS;3.040.087,41;3.040.087.410,00
8;ACTIVOS FINANCIEROS;16.204.265,11;16.204.265.110,00
;TOTAL PRESUPUESTO;19.244.352,52;19.244.352.520,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);-1.294.979,70;-1.294.979.700,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);-105.545,79;-105.545.790,00
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-1.400.525,49;-1.400.525.490,00
;TOTAL CONSOLIDADO;17.843.827,03;17.843.827.030,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
