;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.01;15.02;15.04;15.05;15.06;15.07;15.08;15.09;15.11;15.12;15.13;15.14;15.15;15.22;15.50;;;Total;
1;GASTOS DE PERSONAL;130.217,17;9.414,25;6.684,44;11.006,66;3.693,95;5.656,06;84.796,22;29.264,49;98.539,51;6.891,18;6.310,49;15.158,56;5.902,55;7.458,52;;;;420.994,05;
10; Altos cargos;269,60;61,05;61,05;80,31;61,05;61,05;61,05;61,05;71,17;80,31;61,05;193,25;61,05;132,21;;;;1.315,25;
11; Personal eventual;321,42;;;235,54;;;;;;235,54;;53,47;;;;;;845,97;
12; Funcionarios;101.715,79;8.242,47;6.075,09;2.436,73;3.280,00;5.297,74;76.432,11;27.200,77;79.146,53;2.605,39;5.284,31;11.551,01;5.369,74;6.540,85;;;;341.178,53;
13; Laborales;5.330,49;430,73;48,30;52,12;27,90;27,27;1.603,06;552,67;1.426,75;;261,71;275,48;21,81;25,46;;;;10.083,75;
15; Incentivos al rendimiento;16.742,12;;;8.071,96;;;;;12.368,67;3.794,94;;2.080,67;;;;;;43.058,36;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;5.837,75;680,00;500,00;130,00;325,00;270,00;6.700,00;1.450,00;5.526,39;175,00;703,42;1.004,68;449,95;760,00;;;;24.512,19;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;74.755,06;904,27;5.829,54;213,82;372,71;278,84;6.778,76;601,21;10.886,04;122,13;69,61;261,16;101,15;363,81;467,00;;;102.005,11;
20; Arrendamientos y cánones;27.418,32;19,00;;;;;;;25,00;;;;;;;;;27.462,32;
21; Reparaciones, mantenimiento y conservación;5.451,11;20,00;993,84;15,35;;18,15;2.733,15;129,49;4.680,53;;4,22;;;53,21;;;;14.099,05;
22; Material, suministros y otros;40.637,85;647,04;4.835,70;55,62;372,71;20,40;3.713,35;389,99;5.548,70;63,47;58,66;58,32;14,43;247,94;;;;56.664,18;
23; Indemnizaciones por razón del servicio;1.247,78;;;142,85;;240,29;332,26;81,73;631,81;58,66;6,73;202,84;86,72;62,66;;;;3.094,33;
24; Gastos de publicaciones;;218,23;;;;;;;;;;;;;;;;218,23;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;;;;;;;;;;;;;;467,00;;;467,00;
3;GASTOS FINANCIEROS;3.890,00;;90,00;;;;50,67;;;;;10,00;;;;;;4.040,67;
35; Intereses de demora y otros gastos financieros;3.890,00;;90,00;;;;50,67;;;;;10,00;;;;;;4.040,67;
4;TRANSFERENCIAS CORRIENTES;849.403,11;;17,31;363,74;;;24,94;1,00;;;;418,58;;;;;;850.228,68;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;498.869,38;;;;;;;;;;;;;;;;;498.869,38;
47; A empresas privadas;320.000,00;;;;;;;;;;;;;;;;;320.000,00;
48; A familias e instituciones sin fines de lucro;30.533,73;;8,00;;;;;;;;;;;;;;;30.541,73;
49; Al exterior;;;9,31;363,74;;;24,94;1,00;;;;418,58;;;;;;817,57;
6;INVERSIONES REALES;14.915,56;575,72;53.111,00;;;34,31;22.387,34;1.430,56;24.459,69;5,61;8,23;2.271,39;17,63;1.076,37;;;;120.293,41;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;20,00;42,34;;;;;;;;5,61;;;;;;;;67,95;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;13.223,69;47,50;44.416,50;;;34,31;5.286,18;1.430,56;22.813,13;;8,23;0,52;8,63;258,37;;;;87.527,62;
