;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;19.01;19.02;19.03;;;Total;
1;GASTOS DE PERSONAL;49.152,57;1.718,10;7.646,43;;;58.517,10;
10; Altos cargos;345,70;61,04;141,32;;;548,06;
11; Personal eventual;798,26;;253,32;;;1.051,58;
12; Funcionarios;28.760,10;1.427,06;6.494,90;;;36.682,06;
13; Laborales;10.476,24;;;;;10.476,24;
15; Incentivos al rendimiento;3.381,84;;;;;3.381,84;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;5.390,43;230,00;756,89;;;6.377,32;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.639,46;150,00;3.143,04;;;30.932,50;
20; Arrendamientos y cánones;3.332,06;;;;;3.332,06;
21; Reparaciones, mantenimiento y conservación;2.492,64;;;;;2.492,64;
22; Material, suministros y otros;20.183,18;150,00;3.143,04;;;23.476,22;
23; Indemnizaciones por razón del servicio;1.451,13;;;;;1.451,13;
24; Gastos de publicaciones;180,45;;;;;180,45;
3;GASTOS FINANCIEROS;43,66;;;;;43,66;
35; Intereses de demora y otros gastos financieros;43,66;;;;;43,66;
4;TRANSFERENCIAS CORRIENTES;21.399,29;7.943,38;13.421,22;;;42.763,89;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;50,00;1.196,80;;;1.246,80;
47; A empresas privadas;;9,60;9,60;;;19,20;
48; A familias e instituciones sin fines de lucro;21.099,29;7.883,78;12.064,82;;;41.047,89;
49; Al exterior;300,00;;150,00;;;450,00;
6;INVERSIONES REALES;17.401,09;;;;;17.401,09;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;3.906,40;;;;;3.906,40;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;13.209,12;;;;;13.209,12;
64; Gastos de inversiones de carácter inmaterial;285,57;;;;;285,57;
7;TRANSFERENCIAS DE CAPITAL;;;90,00;;;90,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;90,00;;;90,00;
8;ACTIVOS FINANCIEROS;64,97;;;;;64,97;
83; Concesión de préstamos fuera del Sector Público;19,97;;;;;19,97;
84; Constitución de depósitos y fianzas;45,00;;;;;45,00;
;TOTAL CONSOLIDADO;115.701,04;9.811,48;24.300,69;;;149.813,21;
4;TRANSFERENCIAS CORRIENTES;7.383,13;;314.258,25;;;321.641,38;
41; A Organismos Autónomos;;;308.258,25;;;308.258,25;
42; A la Seguridad Social;;;6.000,00;;;6.000,00;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;7.383,13;;;;;7.383,13;
7;TRANSFERENCIAS DE CAPITAL;41,94;;5.292,09;;;5.334,03;
71; A Organismos Autónomos;;;5.292,09;;;5.292,09;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;41,94;;;;;41,94;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;7.425,07;;319.550,34;;;326.975,41;
;TOTAL;123.126,11;9.811,48;343.851,03;;;476.788,62;
;;



