Económica;Explicación;19.01;19.02;19.03;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;49.152,57;1.718,10;7.646,43;58.517,10;58.517.100
10;Altos cargos;345,7;61,04;141,32;548,06;548.060
11;Personal eventual;798,26;—;253,32;1.051,58;1.051.580
12;Funcionarios;28.760,10;1.427,06;6.494,90;36.682,06;36.682.060
13;Laborales;10.476,24;—;—;10.476,24;10.476.240
15;Incentivos al rendimiento;3.381,84;—;—;3.381,84;3.381.840
16;Cuotas, prestaciones y gastos sociales;5.390,43;230;756,89;6.377,32;6.377.320
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.639,46;150;3.143,04;30.932,50;30.932.500
20;Arrendamientos y cánones;3.332,06;—;—;3.332,06;3.332.060
21;Reparaciones, mantenimiento y conservación;2.492,64;—;—;2.492,64;2.492.640
22;Material, suministros y otros;20.183,18;150;3.143,04;23.476,22;23.476.220
23;Indemnizaciones por razón del servicio;1.451,13;—;—;1.451,13;1.451.130
24;Gastos de publicaciones;180,45;—;—;180,45;180.450
3;GASTOS FINANCIEROS;43,66;—;—;43,66;43.660
35;Intereses de demora y otros gastos financieros;43,66;—;—;43,66;43.660
4;TRANSFERENCIAS CORRIENTES;21.399,29;7.943,38;13.421,22;42.763,89;42.763.890
44;A entidades públicas estatales;—;50;1.196,80;1.246,80;1.246.800
47;A empresas privadas;—;9,6;9,6;19,2;19.200
48;A familias e instituciones sin fines de lucro;21.099,29;7.883,78;12.064,82;41.047,89;41.047.890
49;Al exterior;300,00;—;150;450;450.000
6;INVERSIONES REALES;17.401,09;—;—;17.401,09;17.401.090
62;Inversión nueva;3.906,40;—;—;3.906,40;3.906.400
63;Inversión de reposición;13.209,12;—;—;13.209,12;13.209.120
64;Inversiones inmateriales;285,57;—;—;285,57;285.570
7;TRANSFERENCIAS DE CAPITAL;—;—;90,00;90;90.000
74;A entidades públicas estatales;—;—;90;90;90.000
8;ACTIVOS FINANCIEROS;64,97;—;—;64,97;64.970
83;Préstamos fuera del sector público;19,97;—;—;19,97;19.970
84;Depósitos y fianzas;45,00;—;—;45;45.000
—;TOTAL CONSOLIDADO;115.701,04;9.811,48;24.300,69;149.813,21;149.813.210
4;TRANSFERENCIAS CORRIENTES;7.383,13;—;314.258,25;321.641,38;321.641.380
41;A Organismos Autónomos;—;—;308.258,25;308.258,25;308.258.250
42;A la Seguridad Social;—;—;6.000,00;6.000,00;6.000.000
43;A entidades públicas administrativas;7.383,13;—;—;7.383,13;7.383.130
7;TRANSFERENCIAS DE CAPITAL;41,94;—;5.292,09;5.334,03;5.334.030
71;A Organismos Autónomos;—;—;5.292,09;5.292,09;5.292.090
73;A entidades públicas administrativas;41,94;—;—;41,94;41.940
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;7.425,07;—;319.550,34;326.975,41;326.975.410
—;TOTAL GENERAL;123.126,11;9.811,48;343.851,03;476.788,62;476.788.620
