;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;58.517,10;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;30.932,50;
3; GASTOS FINANCIEROS;43,66;
4; TRANSFERENCIAS CORRIENTES;364.405,27;
;TOTAL OPERACIONES CORRIENTES;453.898,53;
6; INVERSIONES REALES;17.401,09;
7; TRANSFERENCIAS DE CAPITAL;5.424,03;
;TOTAL OPERACIONES DE CAPITAL;22.825,12;
;TOTAL OPERACIONES NO FINANCIERAS;476.723,65;
8; ACTIVOS FINANCIEROS;64,97;
;TOTAL PRESUPUESTO;476.788,62;
4; TRANSFERENCIAS CORRIENTES;-321.641,38;
7; TRANSFERENCIAS DE CAPITAL;-5.334,03;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-326.975,41;
;TOTAL CONSOLIDADO;149.813,21;
;;



