;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO Y SUBSECRETARÍA;;;
v;;143A;;Cooperación para el desarrollo;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;776,92;
;;;120;Retribuciones básicas;;370,40;
;;;12000; Sueldos del grupo A1 y grupo A;133,78;;
;;;12001; Sueldos del grupo A2 y grupo B;64,26;;
;;;12002; Sueldos del grupo C1 y grupo C;19,30;;
;;;12003; Sueldos del grupo C2 y grupo D;16,06;;
;;;12005; Trienios;67,00;;
;;;12006; Pagas extraordinarias;70,00;;
;;;121;Retribuciones complementarias;;406,52;
;;;12100; Complemento de destino;176,87;;
;;;12101; Complemento específico;229,65;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;117,06;
;;;160;Cuotas sociales;;115,06;
v;;;16000; Seguridad Social;115,06;;
;;;162;Gastos sociales del personal;;2,00;
;;;16205; Seguros;2,00;;
;;;;TOTAL GASTOS DE PERSONAL;;893,98;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;49;Al exterior;;300,00;
v;;;491;Aportaciones para realización de programas y otros;;300,00;
;;;49100; Para ejecución de proyectos de ámbito internacional;300,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;300,00;
 ; ;;;;;;
;;;;TOTAL Cooperación para el desarrollo;;1.193,98;
 ; ;;;;;;
v;;281M;;Dirección y Servicios Generales de Trabajo y Economía Social;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;345,70;
;;;100;Retribuciones básicas y otras remuneraciones;;345,70;
;;;10000; Retribuciones básicas;157,81;;
;;;10001; Retribuciones complementarias;187,89;;
v;;;11;Personal eventual;;798,26;
