Económica;Explicación;04.01 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;21.252,60;21.252,60;21.252.600,00
10;Altos cargos;2.232,23;2.232,23;2.232.230,00
11;Personal eventual;1.218,48;1.218,48;1.218.480,00
12;Funcionarios;15.679,35;15.679,35;15.679.350,00
13;Laborales;935,23;935,23;935.230,00
15;Incentivos al rendimiento;234,38;234,38;234.380,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;952,93;952,93;952.930,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.658,86;6.658,86;6.658.860,00
20;Arrendamientos y cánones;31,88;31,88;31.880,00
21;Reparaciones, mantenimiento y conservación;799;799;799.000,00
22;Material, suministros y otros;5.524,68;5.524,68;5.524.680,00
23;Indemnizaciones por razón del servicio;232,4;232,4;232.400,00
24;Gastos de publicaciones;70,9;70,9;70.900,00
3;GASTOS FINANCIEROS;3;3;3.000,00
35;Intereses de demora y otros gastos financieros;3;3;3.000,00
4;TRANSFERENCIAS CORRIENTES;1.323,54;1.323,54;1.323.540,00
48;A familias e instituciones sin fines de lucro;1.321,54;1.321,54;1.321.540,00
49;Al exterior;2;2;2.000,00
6;INVERSIONES REALES;1.200,00;1.200,00;1.200.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;250;250;250.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;950;950;950.000,00
8;ACTIVOS FINANCIEROS;48;48;48.000,00
83;Concesión de préstamos fuera del Sector Público;48;48;48.000,00
—;TOTAL;30.486,00;30.486,00;30.486.000,00
