Servicio;Programa;Económica;Explicación;Total (miles €);Total en euros (€)
1;321M;100;Retribuciones básicas y otras remuneraciones;208,56;208.560
1;321M;10000;Retribuciones básicas;114,61;114.610
1;321M;10001;Retribuciones complementarias;93,95;93.950
1;321M;110;Retribuciones básicas y otras remuneraciones;510,99;510.990
1;321M;11000;Retribuciones básicas;191,89;191.890
1;321M;11001;Retribuciones complementarias;319,1;319.100
1;321M;120;Retribuciones básicas;6.449,67;6.449.670
1;321M;12000;Sueldos grupo A1 y grupo A;1.099,95;1.099.950
1;321M;12001;Sueldos grupo A2 y grupo B;912,54;912.540
1;321M;12002;Sueldos grupo C1 y grupo C;1.553,70;1.553.700
1;321M;12003;Sueldos grupo C2 y grupo D;690,72;690.720
1;321M;12005;Trienios;1.002,88;1.002.880
1;321M;12006;Pagas extraordinarias;1.189,88;1.189.880
1;321M;121;Retribuciones complementarias;27.982,17;27.982.170
1;321M;12100;Complemento de destino;2.812,71;2.812.710
1;321M;12101;Complemento específico;3.522,13;3.522.130
1;321M;12102;Indemnización por residencia;894,33;894.330
1;321M;12181;Necesidades adicionales;20.753,00;20.753.000
1;321M;130;Laboral fijo;6.308,53;6.308.530
1;321M;13000;Retribuciones básicas;5.716,16;5.716.160
1;321M;13001;Otras remuneraciones;592,37;592.370
1;321M;131;Laboral eventual;857,55;857.550
1;321M;150;Productividad;4.524,97;4.524.970,00
1;321M;151;Gratificaciones;237,41;237.410
1;321M;160;Cuotas sociales;4.290,76;4.290.760,00
1;321M;162;Gastos sociales del personal;755,67;755.670
1;321M;16200;Formación y perfeccionamiento del personal;150;150.000,00
1;321M;16204;Acción social;302,85;302.850,00
1;321M;16205;Seguros;10,16;10.160
1;321M;16209;Otros;292,66;292.660,00
1;321M;—;TOTAL GASTOS DE PERSONAL;52.126,28;52.126.280,00
1;321M;205;Arrendamientos de mobiliario y enseres;104;104.000
1;321M;212;Edificios y otras construcciones;285,3;285.300,00
1;321M;213;Maquinaria, instalaciones y utillaje;630,67;630.670
1;321M;214;Elementos de transporte;3;3.000
1;321M;215;Mobiliario y enseres;57,11;57.110,00
1;321M;216;Equipos para procesos de la información;543,78;543.780
1;321M;220;Material de oficina;559,72;559.720
1;321M;22000;Ordinario no inventariable;107,7;107.700
1;321M;22001;Prensa, revistas, libros y otras publicaciones;22,02;22.020
1;321M;22002;Material informático no inventariable;430;430.000
1;321M;221;Suministros;1.418,78;1.418.780
1;321M;22100;Energía eléctrica;950,49;950.490
1;321M;22101;Agua;64,58;64.580,00
1;321M;22102;Gas;139,91;139.910
1;321M;22103;Combustible;39,06;39.060
1;321M;22104;Vestuario;99,82;99.820
1;321M;22106;Productos farmacéuticos y material sanitario;2,04;2.040
1;321M;22111;Repuestos maquinaria y transporte;17,09;17.090
1;321M;22112;Material electrónico y comunicaciones;49,86;49.860
1;321M;22199;Otros suministros;55,93;55.930
1;321M;22201;Postales y mensajería;18;18.000
1;321M;223;Transportes;280,17;280.170
1;321M;224;Primas de seguros;6;6.000
1;321M;22502;Tributos locales;334;334.000
1;321M;22601;Atenciones protocolarias;29,33;29.330
1;321M;22602;Publicidad y propaganda;20;20.000
1;321M;22603;Jurídicos, contenciosos;150;150.000
1;321M;22606;Reuniones, conferencias y cursos;102,3;102.300
1;321M;22607;Oposiciones y pruebas selectivas;48;48.000
1;321M;22706;Estudios y trabajos técnicos;3.067,84;3.067.840
1;321M;22799;Otros trabajos;176,74;176.740
1;321M;230;Dietas;247,78;247.780
1;321M;231;Locomoción;187,99;187.990
1;321M;232;Traslado;11,41;11.410
1;321M;233;Otras indemnizaciones;453,32;453.320
1;321M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.735,24;8.735.240
1;321M;35;Intereses de demora y otros gastos financieros;285,26;285.260
1;321M;352;Intereses de demora;18;18.000
1;321M;354;Liquidación de intereses por sentencias;267,26;267.260
1;321M;—;TOTAL GASTOS FINANCIEROS;285,26;285.260
1;321M;62;Inversión nueva asociada al funcionamiento operativo de los servicios;850;850.000
1;321M;620;Inversión nueva asociada al funcionamiento operativo de los servicios;850;850.000
1;321M;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;2.823,97;2.823.970
1;321M;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;2.823,97;2.823.970
1;321M;64;Gastos de inversiones de carácter inmaterial;909,08;909.080
1;321M;640;Gastos en inversiones de carácter inmaterial;909,08;909.080
1;321M;—;TOTAL INVERSIONES REALES;4.583,05;4.583.050
1;321M;83;Concesión de préstamos fuera del Sector Público;86,06;86.060
1;321M;830;Préstamos a corto plazo;15;15.000
1;321M;83008;Familias e instituciones sin fines de lucro;15;15.000
1;321M;831;Préstamos a largo plazo;71,06;71.060
1;321M;83108;Familias e instituciones sin fines de lucro;71,06;71.060
1;321M;—;TOTAL ACTIVOS FINANCIEROS;86,06;86.060
1;321M;—;TOTAL Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;65.815,89;65.815.890
1;322A;12;Funcionarios;58.549,21;58.549.210
1;322A;120;Retribuciones básicas;23.664,86;23.664.860
1;322A;12001;Sueldos grupo A2 y grupo B;16.631,42;16.631.420
1;322A;12005;Trienios;3.367,29;3.367.290
1;322A;12006;Pagas extraordinarias;3.666,15;3.666.150
1;322A;121;Retribuciones complementarias;34.879,22;34.879.220,00
1;322A;12100;Complemento de destino;8.209,65;8.209.650,00
