;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Organismo: 107 INSTITUTO DE VIVIENDA, INFRAESTRUCTURA Y EQUIPAMIENTO DE LA DEFENSA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;INSTITUTO DE VIVIENDA, INFRAESTRUCTURA Y EQUIPAMIENTO DE LA DEFENSA;;;
v;122A;;Modernización de las Fuerzas Armadas;;;
v;;6;INVERSIONES REALES;;;
;;65;Inversiones militares en infraestructura y otros bienes;;118.322,66;
;;650;Inversiones militares en infraestructura y otros bienes;;118.322,66;
;;;TOTAL INVERSIONES REALES;;118.322,66;
 ; ;;;;;
;;;TOTAL Modernización de las Fuerzas Armadas;;118.322,66;
 ; ;;;;;
 ; ;;;;;
v;122N;;Apoyo Logístico;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;10.219,22;
;;120;Retribuciones básicas;;4.966,72;
;;12000;  Sueldos del grupo A1 y grupo A;1.545,86;;
;;12001;  Sueldos del grupo A2 y grupo B;809,74;;
;;12002;  Sueldos del grupo C1 y grupo C;501,80;;
;;12003;  Sueldos del grupo C2 y grupo D;216,84;;
;;12004;  Sueldos personal de agrupaciones profesionales y grupo E;7,35;;
;;12005;  Trienios;994,45;;
;;12006;  Pagas extraordinarias;890,68;;
;;121;Retribuciones complementarias;;5.214,76;
;;12100;  Complemento de destino;2.093,45;;
;;12101;  Complemento específico;3.100,82;;
;;12103;  Otros complementos;20,49;;
;;122;Retribuciones en especie;;37,74;
;;12201;  Vestuario;37,74;;
;;13;Laborales;;1.513,42;
;;130;Laboral fijo;;1.513,42;
;;13000;  Retribuciones básicas;1.257,45;;
;;13001;  Otras remuneraciones;255,97;;
v;;15;Incentivos al rendimiento;;1.127,45;
v;;150;Productividad;;479,63;
v;;151;Gratificaciones;;15,71;
v;;153;Complemento de dedicación especial;;632,11;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.708,35;
;;160;Cuotas sociales;;1.419,28;
v;;16000;  Seguridad Social;1.419,28;;
;;162;Gastos sociales del personal;;289,07;
v;;16200;  Formación y perfeccionamiento del personal;60,00;;
v;;16201;  Economatos y comedores;100,00;;
;;16202;  Transporte de personal;1,08;;
v;;16204;  Acción social;100,30;;
;;16205;  Seguros;25,27;;
;;16209;  Otros;2,42;;
;;;TOTAL GASTOS DE PERSONAL;;14.568,44;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;21;Reparaciones, mantenimiento y conservación;;8.981,24;
;;212;Edificios y otras construcciones;;8.673,85;
;;213;Maquinaria, instalaciones y utillaje;;12,00;
;;214;Elementos de transporte;;27,50;
;;215;Mobiliario y enseres;;64,40;
;;216;Equipos para procesos de la información;;203,49;
;;22;Material, suministros y otros;;25.503,36;
;;220;Material de oficina;;281,70;
;;22000;  Ordinario no inventariable;41,60;;
;;22001;  Prensa, revistas, libros y otras publicaciones;10,40;;
;;22002;  Material informático no inventariable;229,70;;
;;221;Suministros;;8.918,21;
;;22100;  Energía eléctrica;1.300,00;;
;;22101;  Agua;1.080,00;;
;;22102;  Gas;150,00;;
;;22103;  Combustible;179,50;;
;;22104;  Vestuario;6,20;;
;;22105;  Alimentación;0,51;;
;;22106;  Productos farmacéuticos y material sanitario;2,00;;
;;22199;  Otros suministros;6.200,00;;
;;222;Comunicaciones;;18,40;
;;22200;  Servicios de telecomunicaciones;5,00;;
;;22201;  Postales y mensajería;10,40;;
