;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 32 MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total;
212A; Pensiones no contributivas y prestaciones asistenciales;;;;4.100,00;;;;4.100,00;4.100,00;
219N; Gestión de pensiones de Clases Pasivas;4.967,04;;;;;;;4.967,04;4.967,04;
231B; Acciones en favor de los emigrantes;1.542,19;622,21;;58.337,79;;;;60.502,19;60.502,19;
231G; Atención a la infancia y a las familias;;;;;;;1.800,00;1.800,00;1.800,00;
231H; Acciones en favor de los inmigrantes;18.211,64;689.661,21;200,00;36.040,00;1.000,00;300,00;;745.412,85;745.412,85;
232E; Análisis y definición de objetivos y políticas de Inclusión;2.701,84;;;50,00;;;;2.751,84;2.751,84;
291M; Dirección y Servicios Generales de la Inclusión, de la Seguridad Social y de la Migración;32.802,29;20.509,10;70,00;381,24;13.281,00;;55,00;67.098,63;67.098,63;
;TOTAL CONSOLIDADO;60.225,00;710.792,52;270,00;98.909,03;14.281,00;300,00;1.855,00;886.632,55;886.632,55;
000X; Transferencias y libramientos internos;;;;34.721.929,32;;1.240,20;10.003.806,15;44.726.975,67;44.726.975,67;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;34.721.929,32;;1.240,20;10.003.806,15;44.726.975,67;44.726.975,67;
;TOTAL;60.225,00;710.792,52;270,00;34.820.838,35;14.281,00;1.540,20;10.005.661,15;45.613.608,22;45.613.608,22;
;;



