;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Cap. 9;;;Total;
26BA; C02.I01 Programa de rehabilitación para la recuperación económica y social en entornos residenciales;;;;;;880.000,00;1.100.000,00;1.980.000,00;;;;1.980.000,00;
26BB; C02.I02 Programa de construcción de viviendas en alquiler social en edificios energéticamente eficientes;;;;;;500.000,00;;500.000,00;;;;500.000,00;
261M; Dirección y Servicios Generales de Vivienda y Agenda Urbana;6.667,78;285,00;;;;;;6.952,78;;;;6.952,78;
261N; Promoción, administración y ayudas para rehabilitación y acceso a vivienda;2.182,33;241,30;1.630,00;3.000,00;350,00;691.948,12;260.000,00;959.351,75;165,00;;;959.516,75;
261O; Ordenación y fomento de la edificación;1.777,12;972,25;;300,00;24.450,00;2.942,45;;30.441,82;;;;30.441,82;
261P; Urbanismo y política del suelo;834,24;374,00;;105,00;383,84;5.025,00;;6.722,08;;;;6.722,08;
;TOTAL CONSOLIDADO;11.461,47;1.872,55;1.630,00;3.405,00;25.183,84;2.079.915,57;1.360.000,00;3.483.468,43;165,00;;;3.483.633,43;
000X; Transferencias y libramientos internos;;;;;;900,00;;900,00;;;;900,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;;;900,00;;900,00;;;;900,00;
;TOTAL;11.461,47;1.872,55;1.630,00;3.405,00;25.183,84;2.080.815,57;1.360.000,00;3.484.368,43;165,00;;;3.484.533,43;
;;



