;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Organismo: 102 GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTO DE LA SEGURIDAD DEL ESTADO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTO DE LA SEGURIDAD DEL ESTADO;;;
v;132A;;Seguridad ciudadana;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;1.401,69;
;;120;Retribuciones básicas;;564,82;
;;12000;  Sueldos del grupo A1 y grupo A;193,23;;
;;12001;  Sueldos del grupo A2 y grupo B;51,41;;
;;12002;  Sueldos del grupo C1 y grupo C;77,20;;
;;12003;  Sueldos del grupo C2 y grupo D;40,16;;
;;12005;  Trienios;111,32;;
;;12006;  Pagas extraordinarias;91,50;;
;;121;Retribuciones complementarias;;835,85;
;;12100;  Complemento de destino;73,14;;
;;12101;  Complemento específico;99,82;;
;;12103;  Otros complementos;6,22;;
;;12104;  Complemento de destino Fuerzas y Cuerpos de Seguridad;147,07;;
;;12105;  Complemento específico general Fuerzas y Cuerpos de Seguridad;173,89;;
;;12106;  Complemento específico singular Fuerzas y Cuerpos de Seguridad;335,65;;
;;12107;  Otros complementos Fuerzas y Cuerpos de Seguridad;0,06;;
;;122;Retribuciones en especie;;1,02;
;;12201;  Vestuario;1,02;;
;;13;Laborales;;43,98;
;;130;Laboral fijo;;43,98;
;;13000;  Retribuciones básicas;42,12;;
;;13001;  Otras remuneraciones;1,86;;
v;;15;Incentivos al rendimiento;;241,64;
v;;150;Productividad;;225,08;
v;;151;Gratificaciones;;16,56;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;84,90;
;;160;Cuotas sociales;;84,90;
v;;16000;  Seguridad Social;84,90;;
;;;TOTAL GASTOS DE PERSONAL;;1.772,21;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;10,00;
;;206;Arrendamientos de equipos para procesos de información;;10,00;
;;21;Reparaciones, mantenimiento y conservación;;61,11;
;;212;Edificios y otras construcciones;;35,80;
;;213;Maquinaria, instalaciones y utillaje;;15,00;
;;215;Mobiliario y enseres;;3,00;
;;216;Equipos para procesos de la información;;7,31;
;;22;Material, suministros y otros;;385,98;
;;220;Material de oficina;;9,00;
;;22000;  Ordinario no inventariable;5,00;;
;;22001;  Prensa, revistas, libros y otras publicaciones;1,00;;
;;22002;  Material informático no inventariable;3,00;;
;;221;Suministros;;64,30;
;;22100;  Energía eléctrica;23,00;;
;;22106;  Productos farmacéuticos y material sanitario;0,30;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;1,00;;
;;22199;  Otros suministros;40,00;;
;;222;Comunicaciones;;50,00;
;;22200;  Servicios de telecomunicaciones;50,00;;
;;223;Transportes;;1,00;
;;225;Tributos;;190,00;
v;;22502;  Locales;190,00;;
;;226;Gastos diversos;;28,65;
v;;22601;  Atenciones protocolarias y representativas;2,15;;
;;22602;  Publicidad y propaganda;24,00;;
;;22606;  Reuniones, conferencias y cursos;2,50;;
;;227;Trabajos realizados por otras empresas y profesionales;;43,03;
;;22700;  Limpieza y aseo;3,27;;
;;22706;  Estudios y trabajos técnicos;39,76;;
;;23;Indemnizaciones por razón del servicio;;26,44;
;;230;Dietas;;6,44;
;;231;Locomoción;;20,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;483,53;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;60;Inversión nueva en infraestructuras y bienes destinados al uso general;;269,00;
;;600;Inversiones en terrenos;;269,00;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;550,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;550,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;10.281,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;10.281,00;
;;;TOTAL INVERSIONES REALES;;11.100,00;
 ; ;;;;;
v;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;76;A Entidades Locales;;2.000,00;
v;;761;Para financiar obligaciones derivadas de convenios y acuerdos con otras administraciones;;2.000,00;
;;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.000,00;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;10,00;
v;;831;Préstamos a largo plazo;;10,00;
;;83108;  Familias e instituciones sin fines de lucro;10,00;;
;;;TOTAL ACTIVOS FINANCIEROS;;10,00;
 ; ;;;;;
;;;TOTAL Seguridad ciudadana;;15.365,74;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTO DE LA SEGURIDAD DEL ESTADO;;15.365,74;
;;



