Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
13.08;11;Personal eventual;587,65;587.650,00
13.08;12;Funcionarios;5.862,55;5.862.550,00
13.08;15;Incentivos al rendimiento;873,8;873.800,00
13.08;150;Productividad;815,61;815.610,00
13.08;151;Gratificaciones;58,19;58.190,00
13.08;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;268,79;268.790,00
13.08;16000;Seguridad Social;267,81;267.810,00
13.08;16204;Acción social;0,98;980,00
—;—;TOTAL GASTOS DE PERSONAL;7.592,79;7.592.790,00
13.08;23;Indemnizaciones por razón del servicio;183,04;183.040,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;183,04;183.040,00
—;—;TOTAL SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;7.775,83;7.775.830,00
—;—;TOTAL Apoyo a la gestión administrativa de la Jefatura del Estado;7.775,83;7.775.830,00
;;;;
;;;;
;;;;
