;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 337A Administración del Patrimonio Histórico-Nacional;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;13.105;;Total;
1;GASTOS DE PERSONAL;59.914,58;;59.914,58;
10; Altos cargos;132,23;;132,23;
11; Personal eventual;1.660,83;;1.660,83;
12; Funcionarios;9.442,07;;9.442,07;
13; Laborales;27.580,19;;27.580,19;
14; Otro personal;7.105,00;;7.105,00;
15; Incentivos al rendimiento;1.625,16;;1.625,16;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;12.369,10;;12.369,10;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;42.083,82;;42.083,82;
20; Arrendamientos y cánones;50,50;;50,50;
21; Reparaciones, mantenimiento y conservación;6.639,77;;6.639,77;
22; Material, suministros y otros;34.819,73;;34.819,73;
23; Indemnizaciones por razón del servicio;405,70;;405,70;
24; Gastos de publicaciones;168,12;;168,12;
3;GASTOS FINANCIEROS;20,00;;20,00;
35; Intereses de demora y otros gastos financieros;20,00;;20,00;
4;TRANSFERENCIAS CORRIENTES;223,54;;223,54;
48; A familias e instituciones sin fines de lucro;210,00;;210,00;
49; Al exterior;13,54;;13,54;
6;INVERSIONES REALES;17.899,78;;17.899,78;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;5.836,59;;5.836,59;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;9.563,59;;9.563,59;
64; Gastos de inversiones de carácter inmaterial;2.499,60;;2.499,60;
7;TRANSFERENCIAS DE CAPITAL;500,00;;500,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;500,00;;500,00;
8;ACTIVOS FINANCIEROS;440,00;;440,00;
83; Concesión de préstamos fuera del Sector Público;440,00;;440,00;
9;PASIVOS FINANCIEROS;50,00;;50,00;
94; Devolución de depósitos y fianzas;50,00;;50,00;
;TOTAL;121.131,72;;121.131,72;
;;



