Económica;Explicación;13.301;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;11.600,40;11.600,40;11.600.400,00
10;Altos cargos;132,18;132,18;132.180,00
12;Funcionarios;9.254,06;9.254,06;9.254.060,00
13;Laborales;212,53;212,53;212.530,00
15;Incentivos al rendimiento;946,7;946,7;946.700,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.054,93;1.054,93;1.054.930,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.468,24;5.468,24;5.468.240,00
20;Arrendamientos y cánones;2.203,45;2.203,45;2.203.450,00
21;Reparaciones, mantenimiento y conservación;1.159,33;1.159,33;1.159.330,00
22;Material, suministros y otros;1.857,26;1.857,26;1.857.260,00
23;Indemnizaciones por razón del servicio;247,2;247,2;247.200,00
24;Gastos de publicaciones;1;1;1.000,00
3;GASTOS FINANCIEROS;320,95;320,95;320.950,00
35;Intereses de demora y otros gastos financieros;320,95;320,95;320.950,00
4;TRANSFERENCIAS CORRIENTES;21,6;21,6;21.600,00
48;A familias e instituciones sin fines de lucro;21,6;21,6;21.600,00
6;INVERSIONES REALES;998,35;998,35;998.350,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;863,35;863,35;863.350,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;135;135;135.000,00
8;ACTIVOS FINANCIEROS;11,2;11,2;11.200,00
83;Concesión de préstamos fuera del Sector Público;11,2;11,2;11.200,00
;TOTAL 135M Protección de datos de carácter personal;18.420,74;18.420,74;18.420.740,00
