;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 921Q Cobertura informativa;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;13.07;;Total;
1;GASTOS DE PERSONAL;16.890,08;;16.890,08;
10; Altos cargos;385,41;;385,41;
11; Personal eventual;1.916,68;;1.916,68;
12; Funcionarios;7.665,97;;7.665,97;
13; Laborales;4.174,07;;4.174,07;
15; Incentivos al rendimiento;772,68;;772,68;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.975,27;;1.975,27;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;59.753,52;;59.753,52;
20; Arrendamientos y cánones;106,40;;106,40;
21; Reparaciones, mantenimiento y conservación;560,70;;560,70;
22; Material, suministros y otros;58.629,95;;58.629,95;
23; Indemnizaciones por razón del servicio;456,47;;456,47;
6;INVERSIONES REALES;1.720,00;;1.720,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;195,00;;195,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;325,00;;325,00;
64; Gastos de inversiones de carácter inmaterial;1.200,00;;1.200,00;
;TOTAL;78.363,60;;78.363,60;
;;



