Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
13.01;10;Altos cargos;410,88;410.880,00
13.01;11;Personal eventual;813,13;813.130,00
13.01;12;Funcionarios;92.565,86;92.565.860,00
13.01;13;Laborales;3.009,14;3.009.140,00
13.01;15;Incentivos al rendimiento;5.628,35;5.628.350,00
13.01;150;Productividad;5.560,54;5.560.540,00
13.01;151;Gratificaciones;67,81;67.810,00
13.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.813,45;2.813.450,00
13.01;16000;Seguridad Social;1.992,73;1.992.730,00
13.01;16200;Formación y perfeccionamiento del personal;67,8;67.800,00
13.01;16201;Economatos y comedores;233,79;233.790,00
13.01;16204;Acción social;182,1;182.100,00
—;—;TOTAL GASTOS DE PERSONAL;105.240,81;105.240.810,00
13.01;20;Arrendamientos y cánones;2.012,13;2.012.130,00
13.01;202;Arrendamientos de edificios y otras construcciones;2.012,13;2.012.130,00
13.01;21;Reparaciones, mantenimiento y conservación;1.482,42;1.482.420,00
13.01;22;Material, suministros y otros;10.337,71;10.337.710,00
13.01;22502;Locales;245;245.000,00
13.01;22601;Atenciones protocolarias y representativas;96,11;96.110,00
13.01;23;Indemnizaciones por razón del servicio;626,54;626.540,00
13.01;24;Gastos de publicaciones;135;135.000,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;14.593,80;14.593.800,00
13.01;35;Intereses de demora y otros gastos financieros;15;15.000,00
13.01;352;Intereses de demora;15;15.000,00
—;—;TOTAL GASTOS FINANCIEROS;15;15.000,00
13.01;49;Al exterior;241,83;241.830,00
13.01;491–495;Cuotas y programas internacionales (desglosados);241,83;241.830,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;241,83;241.830,00
13.01;6;INVERSIONES REALES;12.747,54;12.747.540,00
13.01;83;Concesión de préstamos fuera del Sector Público;63,63;63.630,00
13.01;830–831;Préstamos a corto y largo plazo;63,63;63.630,00
—;—;TOTAL ACTIVOS FINANCIEROS;63,63;63.630,00
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;132.902,61;132.902.610,00
—;—;TOTAL Dirección y Servicios Generales de Justicia;132.902,61;132.902.610,00
 ; ;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
