;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 113M Registros vinculados con la Fe Pública;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;13.03;;Total;
1;GASTOS DE PERSONAL;15.837,12;;15.837,12;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;14.122,24;;14.122,24;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.653,84;;1.653,84;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.993,59;;3.993,59;
21; Reparaciones, mantenimiento y conservación;172,87;;172,87;
22; Material, suministros y otros;3.729,72;;3.729,72;
23; Indemnizaciones por razón del servicio;91,00;;91,00;
3;GASTOS FINANCIEROS;15,00;;15,00;
35; Intereses de demora y otros gastos financieros;15,00;;15,00;
6;INVERSIONES REALES;16.823,30;;16.823,30;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;16.262,59;;16.262,59;
64; Gastos de inversiones de carácter inmaterial;560,71;;560,71;
;TOTAL;36.669,01;;36.669,01;
;;



