Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
13.301;—;AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS;—;—
—;1;GASTOS DE PERSONAL;11.600,40;11.600.400,00
—;15;Incentivos al rendimiento;946,7;946.700,00
—;150;Productividad;914,63;914.630,00
—;151;Gratificaciones;32,07;32.070,00
—;16200;Formación y perfeccionamiento del personal;61,18;61.180,00
—;16201;Economatos y comedores;20,33;20.330,00
—;16204;Acción social;30,45;30.450,00
—;202;Arrendamientos de edificios y otras construcciones;2.199,00;2.199.000,00
—;22502;Locales;4;4.000,00
—;22601;Atenciones protocolarias y representativas;4,8;4.800,00
—;—;TOTAL AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS;18.420,74;18.420.740,00
—;—;TOTAL PROGRAMA 135M – Protección de datos de carácter personal;18.420,74;18.420.740,00
