;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 111Q Formación del Personal de la Administración de Justicia;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;13.101;;Total;
1;GASTOS DE PERSONAL;5.384,10;;5.384,10;
12; Funcionarios;4.334,21;;4.334,21;
13; Laborales;125,55;;125,55;
14; Otro personal;8,14;;8,14;
15; Incentivos al rendimiento;179,76;;179,76;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;736,44;;736,44;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.022,68;;3.022,68;
20; Arrendamientos y cánones;7,13;;7,13;
21; Reparaciones, mantenimiento y conservación;405,30;;405,30;
22; Material, suministros y otros;1.240,49;;1.240,49;
23; Indemnizaciones por razón del servicio;1.345,56;;1.345,56;
24; Gastos de publicaciones;24,20;;24,20;
3;GASTOS FINANCIEROS;5,00;;5,00;
35; Intereses de demora y otros gastos financieros;5,00;;5,00;
4;TRANSFERENCIAS CORRIENTES;962,12;;962,12;
48; A familias e instituciones sin fines de lucro;952,12;;952,12;
49; Al exterior;10,00;;10,00;
6;INVERSIONES REALES;777,00;;777,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;407,00;;407,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;370,00;;370,00;
8;ACTIVOS FINANCIEROS;4,07;;4,07;
83; Concesión de préstamos fuera del Sector Público;4,07;;4,07;
;TOTAL;10.154,97;;10.154,97;
;;



