;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total;
231G; Atención a la infancia y a las familias;2.296,43;2.310,82;;36.778,61;;52,00;;41.437,86;41.437,86;
232A; Promoción y servicios a la juventud;9.421,25;8.519,20;26,00;36.032,97;197,22;50,00;29,95;54.276,59;54.276,59;
232N; Dirección y Servicios Generales de Juventud e Infancia;8.964,42;1.357,25;;;75,00;;;10.396,67;10.396,67;
46SA; C19.I01 Competencias digitales transversales. I+D+i+Digitalización;;;;;7.000,00;90.000,00;;97.000,00;97.000,00;
;TOTAL CONSOLIDADO;20.682,10;12.187,27;26,00;72.811,58;7.272,22;90.102,00;29,95;203.111,12;203.111,12;
000X; Transferencias y libramientos internos;;;;12.311,64;;247,22;;12.558,86;12.558,86;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;12.311,64;;247,22;;12.558,86;12.558,86;
;TOTAL;20.682,10;12.187,27;26,00;85.123,22;7.272,22;90.349,22;29,95;215.669,98;215.669,98;
;;



