;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulo 9;
;;
;Sección: 02 CORTES GENERALES;
;Capítulo: 9 PASIVOS FINANCIEROS;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;Total;
911N; Actividad legislativa;25,00;25,00;
;TOTAL CONSOLIDADO;25,00;25,00;
;TOTAL;25,00;25,00;
;;



