;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 441M Subvenciones y apoyo al transporte terrestre;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;17.20;17.39;Total;
4;TRANSFERENCIAS CORRIENTES;98.116,04;1.844.925,85;1.943.041,89;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;800,00;1.313.641,00;1.314.441,00;
45; A Comunidades Autónomas;350,00;451.445,52;451.795,52;
46; A Entidades Locales;;54.304,74;54.304,74;
47; A empresas privadas;96.966,04;15.100,00;112.066,04;
48; A familias e instituciones sin fines de lucro;;10.200,00;10.200,00;
49; Al exterior;;234,59;234,59;
7;TRANSFERENCIAS DE CAPITAL;1.200,00;660.000,00;661.200,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;660.000,00;660.000,00;
78; A familias e instituciones sin fines de lucro;1.200,00;;1.200,00;
;TOTAL;99.316,04;2.504.925,85;2.604.241,89;
;;



