Económica;Explicación;17.40 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.322,86;2.322,86;2.322.860,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;1.956,82;1.956,82;1.956.820,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;305;305;305.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;549,25;549,25;549.250,00
22;Material, suministros y otros;549,25;549,25;549.250,00
4;TRANSFERENCIAS CORRIENTES;293.254,00;293.254,00;293.254.000,00
44;A entidades del Sector Público Estatal;292.204,00;292.204,00;292.204.000,00
47;A empresas privadas;1.050,00;1.050,00;1.050.000,00
6;INVERSIONES REALES;18.200,00;18.200,00;18.200.000,00
60;Inversión nueva en infraestructuras y bienes destinados al uso general;16.200,00;16.200,00;16.200.000,00
64;Gastos de inversiones de carácter inmaterial;2.000,00;2.000,00;2.000.000,00
7;TRANSFERENCIAS DE CAPITAL;175.780,00;175.780,00;175.780.000,00
75;A Comunidades Autónomas;175.780,00;175.780,00;175.780.000,00
8;ACTIVOS FINANCIEROS;1.243.138,00;1.243.138,00;1.243.138.000,00
87;Aportaciones patrimoniales;1.243.138,00;1.243.138,00;1.243.138.000,00
—;TOTAL GENERAL PROGRAMA 453A;1.733.244,11;1.733.244,11;1.733.244.110,00
