Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
17.01;12;Funcionarios;978,3;978.300,00
17.01;13;Laborales;24,74;24.740,00
17.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;91;91.000,00
17.01;16000;Seguridad Social;91;91.000,00
17.01;—;TOTAL GASTOS DE PERSONAL;1.094,04;1.094.040,00
17.01;22;Material, suministros y otros;20;20.000,00
17.01;23;Indemnizaciones por razón del servicio;78,59;78.590,00
17.01;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;98,59;98.590,00
17.01;6;INVERSIONES REALES;570,22;570.220,00
—;—;TOTAL PROGRAMA 455O – Comisión de Investigación de Accidentes e Incidentes de Aviación Civil;1.762,85;1.762.850,00
