Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
17.38;10;Altos cargos;61,04;61.040,00
17.38;12;Funcionarios;17.335,98;17.335.980,00
17.38;13;Laborales;13.430,38;13.430.380,00
17.38;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;5.000,78;5.000.780,00
17.38;16000;Seguridad Social;5.000,78;5.000.780,00
17.38;—;TOTAL GASTOS DE PERSONAL;35.828,18;35.828.180,00
17.38;22;Material, suministros y otros;759,91;759.910,00
17.38;22601;Atenciones protocolarias y representativas;2,25;2.250,00
17.38;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;759,91;759.910,00
17.38;602;Resolución de contratos de concesión de obra pública;1;1.000,00
17.38;—;TOTAL INVERSIONES REALES;1.065.624,66;1.065.624.660,00
17.38;75–76;Transferencias de capital a Comunidades Autónomas y Entidades Locales;470.534,35;470.534.350,00
17.38;—;TOTAL TRANSFERENCIAS DE CAPITAL;470.534,35;470.534.350,00
17.38;83;Concesión de préstamos fuera del Sector Público;20.800,00;20.800.000,00
17.38;830;Préstamos a corto plazo;20.800,00;20.800.000,00
17.38;—;TOTAL ACTIVOS FINANCIEROS;20.800,00;20.800.000,00
17.38;—;TOTAL DIRECCIÓN GENERAL DE CARRETERAS;1.593.547,10;1.593.547.100,00
