Económica;Explicación;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;1.212,00;1.212.000,00 €
10;Altos cargos;141,36;141.360,00 €
11;Personal eventual;251,52;251.520,00 €
12;Funcionarios;688,32;688.320,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;130,8;130.800,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.540,00;3.540.000,00 €
22;Material, suministros y otros;3.340,00;3.340.000,00 €
23;Indemnizaciones por razón del servicio;200;200.000,00 €
4;TRANSFERENCIAS CORRIENTES;5.650,00;5.650.000,00 €
44;A entidades del Sector Público Estatal;100;100.000,00 €
45;A Comunidades Autónomas;3.300,00;3.300.000,00 €
46;A Entidades Locales;650;650.000,00 €
48;A familias e instituciones sin fines de lucro;1.600,00;1.600.000,00 €
6;INVERSIONES REALES;1.950,00;1.950.000,00 €
62;Inversión nueva asociada al funcionamiento operativo de los servicios;1.950,00;1.950.000,00 €
7;TRANSFERENCIAS DE CAPITAL;1.600,00;1.600.000,00 €
75;A Comunidades Autónomas;1.600,00;1.600.000,00 €
—;TOTAL PROGRAMA 925M – Memoria Democrática;13.952,00;13.952.000,00 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
