;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;Programa: 925M Memoria democrática;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;22.03;;Total;
1;GASTOS DE PERSONAL;1.212,00;;1.212,00;
10; Altos cargos;141,36;;141,36;
11; Personal eventual;251,52;;251,52;
12; Funcionarios;688,32;;688,32;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;130,80;;130,80;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.540,00;;3.540,00;
22; Material, suministros y otros;3.340,00;;3.340,00;
23; Indemnizaciones por razón del servicio;200,00;;200,00;
4;TRANSFERENCIAS CORRIENTES;5.650,00;;5.650,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;100,00;;100,00;
45; A Comunidades Autónomas;3.300,00;;3.300,00;
46; A Entidades Locales;650,00;;650,00;
48; A familias e instituciones sin fines de lucro;1.600,00;;1.600,00;
6;INVERSIONES REALES;1.950,00;;1.950,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.950,00;;1.950,00;
7;TRANSFERENCIAS DE CAPITAL;1.600,00;;1.600,00;
75; A Comunidades Autónomas;1.600,00;;1.600,00;
;TOTAL;13.952,00;;13.952,00;
;;



