;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;Programa: 921P Administración General del Estado en el Territorio;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;22.02;;Total;
1;GASTOS DE PERSONAL;230.209,29;;230.209,29;
10; Altos cargos;1.352,15;;1.352,15;
11; Personal eventual;5.877,66;;5.877,66;
12; Funcionarios;161.663,64;;161.663,64;
13; Laborales;21.434,10;;21.434,10;
15; Incentivos al rendimiento;12.002,46;;12.002,46;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;27.879,28;;27.879,28;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;36.562,30;;36.562,30;
20; Arrendamientos y cánones;2.555,20;;2.555,20;
21; Reparaciones, mantenimiento y conservación;4.363,70;;4.363,70;
22; Material, suministros y otros;28.640,47;;28.640,47;
23; Indemnizaciones por razón del servicio;1.002,93;;1.002,93;
3;GASTOS FINANCIEROS;2.763,20;;2.763,20;
35; Intereses de demora y otros gastos financieros;2.763,20;;2.763,20;
4;TRANSFERENCIAS CORRIENTES;29,13;;29,13;
48; A familias e instituciones sin fines de lucro;29,13;;29,13;
6;INVERSIONES REALES;15.995,75;;15.995,75;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;6.336,69;;6.336,69;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;9.659,06;;9.659,06;
8;ACTIVOS FINANCIEROS;305,13;;305,13;
83; Concesión de préstamos fuera del Sector Público;305,13;;305,13;
;TOTAL;285.864,80;;285.864,80;
;;



