Orgánica;Económica;Explicación;Total (miles €);Total (€)
22.02;10;Altos cargos;1.352,15;1.352.150,00 €
22.02;11;Personal eventual;5.877,66;5.877.660,00 €
22.02;12;Funcionarios;161.663,64;161.663.640,00 €
22.02;13;Laborales;21.434,10;21.434.100,00 €
22.02;15;Incentivos al rendimiento;12.002,46;12.002.460,00 €
22.02;150;Productividad;11.944,83;11.944.830,00 €
22.02;151;Gratificaciones;57,63;57.630,00 €
22.02;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;27.879,28;27.879.280,00 €
22.02;16000;Seguridad Social;26.388,04;26.388.040,00 €
22.02;16200;Formación y perfeccionamiento del personal;209,3;209.300,00 €
22.02;16204;Acción social;700,61;700.610,00 €
;;TOTAL GASTOS DE PERSONAL;230.209,29;230.209.290,00
22.02;20;Arrendamientos y cánones;2.555,20;2.555.200,00
22.02;202;Arrendamientos de edificios y otras construcciones;2.518,20;2.518.200,00
22.02;21;Reparaciones, mantenimiento y conservación;4.363,70;4.363.700,00
22.02;22;Material, suministros y otros;28.640,47;28.640.470,00
22.02;22109;Labores Fábrica Nacional Moneda y Timbre;15,8;15.800,00
22.02;22502;Locales;1.700,00;1.700.000,00 €
22.02;22601;Atenciones protocolarias y representativas;232,7;232.700,00
22.02;22611;Gastos protocolarios y representativos derivados de actos institucionales;77,49;77.490,00 €
22.02;23;Indemnizaciones por razón del servicio;1.002,93;1.002.930,00 €
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;36.562,30;36.562.300,00 €
22.02;35;Intereses de demora y otros gastos financieros;2.763,20;2.763.200,00
22.02;352;Intereses de demora;2.763,20;2.763.200,00 €
;;TOTAL GASTOS FINANCIEROS;2.763,20;2.763.200,00 €
22.02;48;A familias e instituciones sin fines de lucro;29,13;29.130,00
22.02;481;Pensión vitalicia (Sentencia Audiencia Provincial de Madrid – “Alcalá 20”);29,13;29.130,00
;;TOTAL TRANSFERENCIAS CORRIENTES;29,13;29.130,00
22.02;6;Inversiones reales;15.995,75;15.995.750,00
22.02;83;Concesión de préstamos fuera del Sector Público;305,13;305.130,00 €
22.02;830;Préstamos a corto plazo;145,13;145.130,00 €
22.02;83010;Anticipos a jurados de expropiación forzosa;122,31;122.310,00 €
22.02;831;Préstamos a largo plazo;160;160.000,00 €
;;TOTAL ACTIVOS FINANCIEROS;305,13;305.130,00
;;TOTAL PROGRAMA 921P – Administración General del Estado en el Territorio;285.864,80;285.864.800,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
