Económica;Explicación;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;2.172,93;2.172.930,00 €
12;Funcionarios;1.843,84;1.843.840,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;329,09;329.090,00 €
16000;Seguridad Social;329,09;329.090,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.465,40;1.465.400,00 €
21;Reparaciones, mantenimiento y conservación;60;60.000,00 €
22;Material, suministros y otros;1.405,40;1.405.400,00 €
4;TRANSFERENCIAS CORRIENTES;2.625,00;2.625.000,00 €
48;A familias e instituciones sin fines de lucro;2.625,00;2.625.000,00 €
480;A la Federación Española de Municipios y Provincias;2.625,00;2.625.000,00 €
6;INVERSIONES REALES;360;360.000,00 €
7;TRANSFERENCIAS DE CAPITAL;51.816,00;51.816.000,00 €
74;A entidades del Sector Público Estatal;20.520,00;20.520.000,00 €
740;Planes de desarrollo Ceuta y Melilla;20.520,00;20.520.000,00 €
75;A Comunidades Autónomas;30.000,00;30.000.000,00 €
753;Proyectos en Teruel (Aragón);30.000,00;30.000.000,00 €
76;A Entidades Locales;1.266,00;1.266.000,00 €
760;Cooperación Económica Local – Ceuta y Melilla;1.266,00;1.266.000,00 €
76002;Ayuntamientos de Don Benito y Villanueva de La Serena;1.000,00;1.000.000,00 €
76004;Ayuntamiento de Castellar de la Ribera;16;16.000,00 €
76005;Ayuntamiento de Aitona;250;250.000,00 €
78;A familias e instituciones sin fines de lucro;30;30.000,00 €
780;Asociación Cultural Veïns de Camps;30;30.000,00 €
—;TOTAL PROGRAMA 942A – Cooperación económica local del Estado;58.439,33;58.439.330,00 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
