Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;230.209,29;230.209.290,00
10;Altos cargos;1.352,15;1.352.150,00
11;Personal eventual;5.877,66;5.877.660,00
12;Funcionarios;161.663,64;161.663.640,00
13;Laborales;21.434,10;21.434.100,00
15;Incentivos al rendimiento;12.002,46;12.002.460,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;27.879,28;27.879.280,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;36.562,30;36.562.300,00
20;Arrendamientos y cánones;2.555,20;2.555.200,00
21;Reparaciones, mantenimiento y conservación;4.363,70;4.363.700,00
22;Material, suministros y otros;28.640,47;28.640.470,00
23;Indemnizaciones por razón del servicio;1.002,93;1.002.930,00
3;GASTOS FINANCIEROS;2.763,20;2.763.200,00
35;Intereses de demora y otros gastos financieros;2.763,20;2.763.200,00
4;TRANSFERENCIAS CORRIENTES;29,13;29.130,00
48;A familias e instituciones sin fines de lucro;29,13;29.130,00
6;INVERSIONES REALES;15.995,75;15.995.750,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;6.336,69;6.336.690,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;9.659,06;9.659.060,00
8;ACTIVOS FINANCIEROS;305,13;305.130,00
83;Concesión de préstamos fuera del Sector Público;305,13;305.130,00
—;TOTAL PROGRAMA 921P;285.864,80;285.864.800,00
