Económica;Explicación;24.01 ;24.04;24.105;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;—;1.782,53;—;1.782,53;1.782.530,00
10;Altos cargos;—;61,04;—;61,04;61.040,00
12;Funcionarios;—;1.306,38;—;1.306,38;1.306.380,00
13;Laborales;—;193;—;193;193.000,00
16;Cuotas, prestaciones y gastos sociales;—;222,11;—;222,11;222.110,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;1.742,29;10;1.752,29;1.752.290,00
20;Arrendamientos y cánones;—;18;—;18;18.000,00
22;Material, suministros y otros;—;1.659,29;—;1.659,29;1.659.290,00
22601;Atenciones protocolarias y representativas;—;2;—;2;2.000,00
23;Indemnizaciones por razón del servicio;—;65;—;65;65.000,00
22502;Locales;—;—;5;5;5.000,00
4;TRANSFERENCIAS CORRIENTES;210.350,00;20.710,42;—;231.060,42;231.060.420,00
44–49;A entidades públicas, privadas y al exterior;210.350,00;20.710,42;—;231.060,42;231.060.420,00
6;INVERSIONES REALES;—;43;—;43;43.000,00
7;TRANSFERENCIAS DE CAPITAL;—;54.396,00;—;54.396,00;54.396.000,00
75–78;A comunidades autónomas, entidades locales y sin fines de lucro;—;54.396,00;—;54.396,00;54.396.000,00
—;TOTAL PROGRAMA 334A – Promoción y cooperación cultural;210.350,00;78.674,24;10;289.034,24;289.034.240,00
