;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 322L Inversiones en centros educativos y otras actividades educativas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;24.105;;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.023,00;;1.023,00;
20; Arrendamientos y cánones;836,00;;836,00;
21; Reparaciones, mantenimiento y conservación;24,00;;24,00;
22; Material, suministros y otros;163,00;;163,00;
6;INVERSIONES REALES;14.661,62;;14.661,62;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;12.641,62;;12.641,62;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.020,00;;2.020,00;
;TOTAL;15.684,62;;15.684,62;
;;



