Económica;Explicación;24.05 ;24.105;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;4.665,50;—;4.665,50;4.665.500,00
12;Funcionarios;1.466,44;—;1.466,44;1.466.440,00
13;Laborales;2.340,18;—;2.340,18;2.340.180,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;858,88;—;858,88;858.880,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.843,50;5;1.848,50;1.848.500,00
20;Arrendamientos y cánones;24;—;24;24.000,00
21;Reparaciones, mantenimiento y conservación;548;—;548;548.000,00
22;Material, suministros y otros;921,5;—;921,5;921.500,00
22502;Locales;25;—;25;25.000,00
23;Indemnizaciones por razón del servicio;350;—;350;350.000,00
4;TRANSFERENCIAS CORRIENTES;130;—;130;130.000,00
48–49;A familias, instituciones sin fines de lucro y al exterior;130;—;130;130.000,00
6;INVERSIONES REALES;18.632,93;10;18.642,93;18.642.930,00
631;Inversiones producto del 2% cultural;10;—;10;10.000,00
7;TRANSFERENCIAS DE CAPITAL;13.520,00;—;13.520,00;13.520.000,00
75–78;A comunidades autónomas, entidades locales y sin fines de lucro;13.520,00;—;13.520,00;13.520.000,00
—;TOTAL PROGRAMA 337B – Conservación y restauración de bienes culturales;38.791,93;15;38.806,93;38.806.930,00
