;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 335C Cinematografía;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;24.103;24.105;Total;
1;GASTOS DE PERSONAL;8.549,22;;8.549,22;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;5.201,74;;5.201,74;
13; Laborales;1.802,71;;1.802,71;
15; Incentivos al rendimiento;303,68;;303,68;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.180,05;;1.180,05;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.242,61;10,00;4.252,61;
20; Arrendamientos y cánones;204,50;;204,50;
21; Reparaciones, mantenimiento y conservación;608,00;5,00;613,00;
22; Material, suministros y otros;3.070,39;5,00;3.075,39;
23; Indemnizaciones por razón del servicio;259,72;;259,72;
24; Gastos de publicaciones;100,00;;100,00;
3;GASTOS FINANCIEROS;40,00;;40,00;
35; Intereses de demora y otros gastos financieros;40,00;;40,00;
4;TRANSFERENCIAS CORRIENTES;150.382,67;;150.382,67;
45; A Comunidades Autónomas;39.201,75;;39.201,75;
46; A Entidades Locales;1.989,10;;1.989,10;
47; A empresas privadas;107.852,06;;107.852,06;
48; A familias e instituciones sin fines de lucro;1.339,76;;1.339,76;
6;INVERSIONES REALES;835,00;3.000,00;3.835,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;150,00;;150,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;385,00;3.000,00;3.385,00;
64; Gastos de inversiones de carácter inmaterial;300,00;;300,00;
7;TRANSFERENCIAS DE CAPITAL;30,00;;30,00;
76; A Entidades Locales;30,00;;30,00;
8;ACTIVOS FINANCIEROS;54,00;;54,00;
83; Concesión de préstamos fuera del Sector Público;54,00;;54,00;
;TOTAL;164.133,50;3.010,00;167.143,50;
;;



