Económica;Explicación;24.05;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.569,64;2.569,64;2.569.640,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;2.053,39;2.053,39;2.053.390,00
13;Laborales;157,55;157,55;157.550,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;297,66;297,66;297.660,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.050,64;2.050,64;2.050.640,00
20;Arrendamientos y cánones;15;15;15.000,00
22;Material, suministros y otros;1.745,64;1.745,64;1.745.640,00
23;Indemnizaciones por razón del servicio;290;290;290.000,00
3;GASTOS FINANCIEROS;5;5;5.000,00
35;Intereses de demora y otros gastos financieros;5;5;5.000,00
4;TRANSFERENCIAS CORRIENTES;1.573,83;1.573,83;1.573.830,00
44;A entidades del Sector Público Estatal;450;450;450.000,00
45;A Comunidades Autónomas;640;640;640.000,00
48;A familias e instituciones sin fines de lucro;425;425;425.000,00
49;Al exterior;58,83;58,83;58.830,00
6;INVERSIONES REALES;6.937,50;6.937,50;6.937.500,00
62;Inversión nueva asociada al funcionamiento operativo;6.724,50;6.724,50;6.724.500,00
63;Inversión de reposición asociada al funcionamiento operativo;63;63;63.000,00
64;Gastos de inversiones de carácter inmaterial;150;150;150.000,00
7;TRANSFERENCIAS DE CAPITAL;660;660;660.000,00
76;A Entidades Locales;660;660;660.000,00
—;TOTAL PROGRAMA 337C – Protección del Patrimonio Histórico;—;13.796,61;13.796.610,00
