Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
24.05;12;Funcionarios;8.554,48;8.554.480,00
24.05;13;Laborales;3.685,18;3.685.180,00
24.05;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.919,98;1.919.980,00
24.05;—;TOTAL GASTOS DE PERSONAL;14.159,64;14.159.640,00
24.05;21;Reparaciones, mantenimiento y conservación;1.222,81;1.222.810,00
24.05;22;Material, suministros y otros;7.728,27;7.728.270,00
24.05;22502;Locales;18,5;18.500,00
24.05;23;Indemnizaciones por razón del servicio;86;86.000,00
24.05;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.037,08;9.037.080,00
24.05;452;Actualización del Censo Guía de los Archivos Españoles;20;20.000,00
24.05;484;Ayudas a instituciones y asociaciones profesionales;227,43;227.430,00
24.05;48402;Archiveros sin Fronteras;5;5.000,00
24.05;48403;Monasterio de Poblet – Archivo Montserrat Tarradellas;50;50.000,00
24.05;48404;Fundación Medina Sidonia – Archivo Histórico;55,5;55.500,00
24.05;48407;UNE CTN 50/SC1 – Preservación de Información Digital;7;7.000,00
24.05;491;Cuotas a organismos internacionales;53,88;53.880,00
24.05;—;TOTAL TRANSFERENCIAS CORRIENTES;301,31;301.310,00
24.05;6;INVERSIONES REALES;2.780,00;2.780.000,00
24.05;780;Ayudas para mejora de instalaciones y equipamiento de archivos;75;75.000,00
24.05;—;TOTAL TRANSFERENCIAS DE CAPITAL;75;75.000,00
24.05;—;TOTAL DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;26.353,03;26.353.030,00
24.105;202;Arrendamientos de edificios y otras construcciones;35;35.000,00
24.105;22502;Locales;45;45.000,00
24.105;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;157;157.000,00
24.105;352;Intereses de demora;1;1.000,00
24.105;—;TOTAL GASTOS FINANCIEROS;1;1.000,00
24.105;6;INVERSIONES REALES;21.200,00;21.200.000,00
24.105;—;TOTAL GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;21.358,00;21.358.000,00
—;—;TOTAL PROGRAMA 332A – Archivos;47.711,03;47.711.030,00
