;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 455O Comisión de Investigación de Accidentes e Incidentes de Aviación Civil;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.01;;Total;
1;GASTOS DE PERSONAL;1.094,04;;1.094,04;
12; Funcionarios;978,30;;978,30;
13; Laborales;24,74;;24,74;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;91,00;;91,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;98,59;;98,59;
22; Material, suministros y otros;20,00;;20,00;
23; Indemnizaciones por razón del servicio;78,59;;78,59;
6;INVERSIONES REALES;570,22;;570,22;
64; Gastos de inversiones de carácter inmaterial;570,22;;570,22;
;TOTAL;1.762,85;;1.762,85;
;;



