;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
17.03;;SECRETARÍA GENERAL TÉCNICA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;110.000,00;
;431;A la CNMC para el Fondo de financiación del Servicio Postal Universal;;110.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;110.000,00;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL TÉCNICA;;110.000,00;
 ; ;;;;
 ; ;;;;
17.18;;DIRECCIÓN GENERAL DEL INSTITUTO GEOGRÁFICO NACIONAL;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;2.040,21;
;412;Centro Nacional de Información Geográfica (CNIG);;2.040,21;
;;TOTAL TRANSFERENCIAS CORRIENTES;;2.040,21;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;2.520,00;
;712;Centro Nacional de Información Geográfica (CNIG);;2.520,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.520,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DEL INSTITUTO GEOGRÁFICO NACIONAL;;4.560,21;
 ; ;;;;
 ; ;;;;
17.20;;SECRETARÍA DE ESTADO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;12.897,90;
;410;Centro de Estudios y Experimentación de Obras Públicas (CEDEX);;12.897,90;
;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;6.585,41;
;431;Agencia Estatal de Seguridad Ferroviaria;;6.585,41;
;;TOTAL TRANSFERENCIAS CORRIENTES;;19.483,31;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;5.900,00;
;710;Centro de Estudios y Experimentación de Obras Públicas (CEDEX);;5.840,00;
;713;Centro Nacional de Información Geográfica (CNIG);;60,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;5.900,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;;25.383,31;
 ; ;;;;
 ; ;;;;
17.102;;CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;15,00;
;430;Al CSIC. Aportación EPOS-ERIC;;15,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;15,00;
 ; ;;;;
;9;PASIVOS FINANCIEROS;;;
;91;Amortización de préstamos en euros;;27,60;
;911;Amortización de préstamos a largo plazo de entes del Sector Público;;27,60;
;;TOTAL PASIVOS FINANCIEROS;;27,60;
 ; ;;;;
;;TOTAL CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA;;42,60;
 ; ;;;;
 ; ;;;;
17.301;;AGENCIA ESTATAL DE SEGURIDAD AÉREA;;;
;402;Al Estado, para compensar gastos de gestión centralizada;;1.025,40;
;403;Al Estado, para la cofinanciación de gastos del Centro de Educación Infantil;;69,23;
;;TOTAL AGENCIA ESTATAL DE SEGURIDAD AÉREA;;1.094,63;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;141.080,75;
;;



