;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 453N Regulación y supervisión de la seguridad ferroviaria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.302;;Total;
1;GASTOS DE PERSONAL;6.896,05;;6.896,05;
10; Altos cargos;100,52;;100,52;
12; Funcionarios;4.353,02;;4.353,02;
13; Laborales;519,01;;519,01;
15; Incentivos al rendimiento;844,66;;844,66;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.078,84;;1.078,84;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.593,15;;2.593,15;
21; Reparaciones, mantenimiento y conservación;504,15;;504,15;
22; Material, suministros y otros;1.695,60;;1.695,60;
23; Indemnizaciones por razón del servicio;393,40;;393,40;
4;TRANSFERENCIAS CORRIENTES;104,87;;104,87;
48; A familias e instituciones sin fines de lucro;104,87;;104,87;
6;INVERSIONES REALES;6.869,45;;6.869,45;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;22,50;;22,50;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;159,00;;159,00;
64; Gastos de inversiones de carácter inmaterial;6.687,95;;6.687,95;
;TOTAL;16.463,52;;16.463,52;
;;



