Económica;Explicación;17.101;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;21.118,43;21.118,43;21.118.430,00
12;Funcionarios;10.930,61;10.930,61;10.930.610,00
13;Laborales;3.311,71;3.311,71;3.311.710,00
14;Otro personal;1.688,95;1.688,95;1.688.950,00
15;Incentivos al rendimiento;1.320,55;1.320,55;1.320.550,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.866,61;3.866,61;3.866.610,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.179,08;6.179,08;6.179.080,00
20;Arrendamientos y cánones;19,17;19,17;19.170,00
21;Reparaciones, mantenimiento y conservación;911,24;911,24;911.240,00
22;Material, suministros y otros;4.881,67;4.881,67;4.881.670,00
23;Indemnizaciones por razón del servicio;318,38;318,38;318.380,00
24;Gastos de publicaciones;48,62;48,62;48.620,00
4;TRANSFERENCIAS CORRIENTES;319,72;319,72;319.720,00
48;A familias e instituciones sin fines de lucro;244,1;244,1;244.100,00
49;Al exterior;75,62;75,62;75.620,00
6;INVERSIONES REALES;5.740,00;5.740,00;5.740.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;800;800;800.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;4.415,00;4.415,00;4.415.000,00
64;Gastos de inversiones de carácter inmaterial;525;525;525.000,00
8;ACTIVOS FINANCIEROS;38,32;38,32;38.320,00
83;Concesión de préstamos fuera del Sector Público;38,32;38,32;38.320,00
—;TOTAL PROGRAMA 451M – Estudios y asistencia técnica en Obras Públicas y Urbanismo;—;33.395,55;33.395.550,00
