;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.03;17.18;17.20;17.102;17.301;Total;
4;TRANSFERENCIAS CORRIENTES;110.000,00;2.040,21;19.483,31;15,00;1.094,63;132.633,15;
40; A la Administración del Estado;;;;;1.094,63;1.094,63;
41; A Organismos Autónomos;;2.040,21;12.897,90;;;14.938,11;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;110.000,00;;6.585,41;15,00;;116.600,41;
7;TRANSFERENCIAS DE CAPITAL;;2.520,00;5.900,00;;;8.420,00;
71; A Organismos Autónomos;;2.520,00;5.900,00;;;8.420,00;
9;PASIVOS FINANCIEROS;;;;27,60;;27,60;
91; Amortización de préstamos en euros;;;;27,60;;27,60;
;TOTAL;110.000,00;4.560,21;25.383,31;42,60;1.094,63;141.080,75;
;;



