;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 454M Regulación y seguridad del tráfico marítimo;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.32;;Total;
1;GASTOS DE PERSONAL;28.700,44;;28.700,44;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;24.632,80;;24.632,80;
13; Laborales;1.656,60;;1.656,60;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.350,00;;2.350,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.630,07;;4.630,07;
22; Material, suministros y otros;4.630,07;;4.630,07;
4;TRANSFERENCIAS CORRIENTES;1.199,00;;1.199,00;
48; A familias e instituciones sin fines de lucro;1.100,00;;1.100,00;
49; Al exterior;99,00;;99,00;
6;INVERSIONES REALES;2.300,00;;2.300,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.325,55;;1.325,55;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;594,45;;594,45;
64; Gastos de inversiones de carácter inmaterial;380,00;;380,00;
;TOTAL;36.829,51;;36.829,51;
;;



