;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 453C Conservación y explotación de carreteras;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.38;;Total;
1;GASTOS DE PERSONAL;20.184,28;;20.184,28;
12; Funcionarios;7.176,84;;7.176,84;
13; Laborales;9.507,44;;9.507,44;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.500,00;;3.500,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;34.725,13;;34.725,13;
21; Reparaciones, mantenimiento y conservación;146,23;;146,23;
22; Material, suministros y otros;34.578,90;;34.578,90;
6;INVERSIONES REALES;1.153.500,00;;1.153.500,00;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;1.153.090,01;;1.153.090,01;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;409,99;;409,99;
;TOTAL;1.208.409,41;;1.208.409,41;
;;



