;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 451N Dirección y Servicios Generales de Transportes y Movilidad Sostenible;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.01;17.02;17.03;17.20;;Total;
1;GASTOS DE PERSONAL;62.828,81;;;;;62.828,81;
10; Altos cargos;533,52;;;;;533,52;
11; Personal eventual;626,40;;;;;626,40;
12; Funcionarios;36.878,59;;;;;36.878,59;
13; Laborales;5.698,66;;;;;5.698,66;
15; Incentivos al rendimiento;13.282,39;;;;;13.282,39;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;5.809,25;;;;;5.809,25;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;21.133,15;10,00;375,47;469,08;;21.987,70;
20; Arrendamientos y cánones;898,37;;;;;898,37;
21; Reparaciones, mantenimiento y conservación;5.433,09;;;;;5.433,09;
22; Material, suministros y otros;11.500,09;10,00;113,30;469,08;;12.092,47;
23; Indemnizaciones por razón del servicio;3.301,60;;;;;3.301,60;
24; Gastos de publicaciones;;;262,17;;;262,17;
3;GASTOS FINANCIEROS;10,31;;3,00;3.500,00;;3.513,31;
35; Intereses de demora y otros gastos financieros;10,31;;3,00;3.500,00;;3.513,31;
4;TRANSFERENCIAS CORRIENTES;1.264,77;;1.010,00;8.066,13;;10.340,90;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;5.620,00;;5.620,00;
45; A Comunidades Autónomas;;;;420,00;;420,00;
47; A empresas privadas;;;;1.640,13;;1.640,13;
48; A familias e instituciones sin fines de lucro;1.196,77;;200,00;385,00;;1.781,77;
49; Al exterior;68,00;;810,00;1,00;;879,00;
6;INVERSIONES REALES;9.622,80;1.968,00;213,00;3.900,00;;15.703,80;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.676,10;3,86;93,00;;;1.772,96;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;4.618,73;3,86;120,00;;;4.742,59;
64; Gastos de inversiones de carácter inmaterial;3.327,97;1.960,28;;3.900,00;;9.188,25;
7;TRANSFERENCIAS DE CAPITAL;500,00;;;270.676,10;;271.176,10;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;5.750,00;;5.750,00;
75; A Comunidades Autónomas;;;;264.091,10;;264.091,10;
76; A Entidades Locales;500,00;;;835,00;;1.335,00;
8;ACTIVOS FINANCIEROS;153,78;;;52.691,16;;52.844,94;
83; Concesión de préstamos fuera del Sector Público;153,78;;;;;153,78;
85; Adquisición de acciones y participaciones del Sector Público;;;;52.691,16;;52.691,16;
;TOTAL;95.513,62;1.978,00;1.601,47;339.302,47;;438.395,56;
;;



