Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
17.01;10;Altos cargos;533,52;533.520,00
17.01;11;Personal eventual;626,4;626.400,00
17.01;12;Funcionarios;36.878,59;36.878.859,00
17.01;13;Laborales;5.698,66;5.698.660,00
17.01;15;Incentivos al rendimiento;13.282,39;13.282.390,00
17.01;150;Productividad;12.436,23;12.436.230,00
17.01;151;Gratificaciones;846,16;846.160,00
17.01;16;Cuotas, prestaciones y gastos sociales;5.809,25;5.809.250,00
17.01;16000;Seguridad Social;3.845,65;3.845.650,00
17.01;16200;Formación y perfeccionamiento del personal;624,1;624.100,00
17.01;16201;Economatos y comedores;40,65;40.650,00
17.01;16204;Acción social;572,09;572.090,00
17.01;—;TOTAL GASTOS DE PERSONAL;62.828,81;62.828.810,00
17.01;20;Arrendamientos y cánones;898,37;898.370,00
17.01;202;Arrendamientos de edificios;748;748.000,00
17.01;21;Reparaciones, mantenimiento y conservación;5.433,09;5.433.090,00
17.01;22;Material, suministros y otros;11.500,09;11.500.090,00
17.01;22109;Labores FNMT;130;130.000,00
17.01;22502;Locales;1.765,70;1.765.700,00
17.01;22601;Atenciones protocolarias;27,21;27.210,00
17.01;23;Indemnizaciones por razón del servicio;3.301,60;3.301.600,00
17.01;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;21.133,15;21.133.150,00
17.01;35;Intereses de demora y otros gastos financieros;10,31;10.310,00
17.01;—;TOTAL GASTOS FINANCIEROS;10,31;10.310,00
17.01;—;TOTAL TRANSFERENCIAS CORRIENTES;1.264,77;1.264.770,00
17.01;6;INVERSIONES REALES;9.622,80;9.622.800,00
17.01;76;TRANSFERENCIAS DE CAPITAL;500;500.000,00
17.01;83;ACTIVOS FINANCIEROS;153,78;153.780,00
17.01;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;95.513,62;95.513.620,00
17.02;22;Material, suministros y otros;10;10.000,00
17.02;22601;Atenciones protocolarias;2,25;2.250,00
17.02;6;INVERSIONES REALES;1.968,00;1.968.000,00
17.02;—;TOTAL DIRECCIÓN GENERAL DE PROGRAMACIÓN ECONÓMICA Y PRESUPUESTOS;1.978,00;1.978.000,00
17.03;22;Material, suministros y otros;113,3;113.300,00
17.03;22601;Atenciones protocolarias;2,25;2.250,00
17.03;24;Gastos de publicaciones;262,17;262.170,00
17.03;35;Otros gastos financieros;3;3.000,00
17.03;48;A familias e instituciones sin fines de lucro;200;200.000,00
17.03;49;Al exterior;810;810.000,00
17.03;6;INVERSIONES REALES;213;213.000,00
17.03;—;TOTAL SECRETARÍA GENERAL TÉCNICA;1.601,47;1.601.470,00
17.20;22;Material, suministros y otros;469,08;469.080,00
17.20;22601;Atenciones protocolarias;17,99;17.990,00
17.20;35;Intereses de demora;3.500,00;3.500.000,00
17.20;44–49;Transferencias corrientes (ENAIRE, Ucrania, Ciudades por la Bicicleta, etc.);8.066,13;8.066.130,00
17.20;6;INVERSIONES REALES;3.900,00;3.900.000,00
17.20;74–76;Transferencias de capital (Cataluña, SECEGSA, IFEMA, etc.);270.676,10;270.676.100,00
17.20;85;Adquisición de acciones (SEITTSA);52.691,16;52.691.160,00
17.20;—;TOTAL SECRETARÍA DE ESTADO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;339.302,47;339.302.470,00
—;—;TOTAL DIRECCIÓN Y SERVICIOS GENERALES DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;438.395,56;438.395.560,00
